batch_id,factory_name,factory_city,industry_type,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,recommended_product,predicted_market_demand,recommended_buyer,buyer_city,estimated_payback_months,treatment_dependency,ai_segmentation_category,esg_impact_score,upload_date
RWAI-101609,"Sidhu, Mann and Bhakta",Bhiwandi,Textile Manufacturing,Textile Dye Waste,Polymer,9312.73,Sulfide,6.98,153.92,94.22,3539.45,411.12,3895.41,328.76,20.27,48.95,42.34,44.25,24.32,56.05,60847.26,7.36,47.14,15.33,68.38,337.66,Eco Packaging Sheets,Emerging,UltraTech EcoBuild,Panipat,30.7,High,Needs Advanced Treatment,33.79,2026-01-03
RWAI-101610,Loyal Ltd,Noida,Garment Processing,Industrial Wastewater,Mixed,5221.88,Lead,7.81,356.08,147.8,1304.57,97.13,2315.72,247.91,42.65,59.11,94.39,71.86,41.54,54.46,2008846.81,4.43,68.9,67.69,23.33,224.83,Eco Packaging Sheets,High,JSW Green Materials,Jaipur,13.5,High,Moderately Recoverable,61.47,2023-06-02
RWAI-101611,"Deshmukh, Sabharwal and Yogi",Mumbai,Leather Processing,Textile Dye Waste,Organic,5846.61,Sulfide,6.94,426.01,74.96,4082.3,130.44,1009.31,78.08,22.57,44.11,37.72,42.11,35.55,21.44,398098.42,9.33,44.31,78.57,33.35,395.32,Acoustic Insulation Panels,Very High,RenewBuild India,Ahmedabad,10.3,High,Needs Advanced Treatment,55.27,2023-09-08
RWAI-101612,Sehgal and Sons,Noida,Textile Manufacturing,Chemical Effluent,Mixed,5718.7,Microplastics,9.03,931.69,211.9,2180.71,329.6,3051.61,100.97,58.61,58.03,33.72,33.31,61.36,22.99,2486123.59,7.11,74.56,82.61,64.06,219.58,Eco Paver Blocks,High,Godrej Interio Eco,Indore,18.0,Medium,Highly Recoverable,81.02,2024-07-17
RWAI-101613,"Sami, Bala and Hora",Mumbai,Synthetic Fiber Plant,Plastic Laminate Waste,Polymer,3371.23,High TDS,7.99,477.54,498.33,7240.55,125.77,1867.69,142.92,31.61,25.59,34.07,36.35,67.89,29.85,1107240.95,9.24,61.06,38.42,78.02,427.51,Low-Cost Modular Panels,Medium,RenewBuild India,Noida,27.2,Medium,Needs Advanced Treatment,77.55,2023-07-31
RWAI-101614,Kunda Ltd,Indore,Garment Processing,Denim Processing Sludge,Mixed,8210.05,Microplastics,8.19,195.79,582.72,4879.28,272.36,193.98,202.11,2.81,44.38,35.48,40.23,21.29,13.62,494436.92,1.12,70.42,18.61,94.16,261.11,Low-Cost Modular Panels,Medium,Adani Circular Infra,Mumbai,5.5,High,Highly Recoverable,91.06,2024-07-16
RWAI-101615,Majumdar-Kumar,Coimbatore,Fabric Export Unit,Leather Processing Waste,Mixed,2686.58,High TDS,5.92,1003.52,321.8,3106.99,223.69,3104.41,468.02,28.55,54.73,64.88,59.92,65.13,68.54,721672.8,1.13,93.19,42.9,23.24,231.85,Eco Bricks,High,Adani Circular Infra,Surat,32.5,High,Low Recovery Potential,65.49,2025-07-04
RWAI-101616,"Jhaveri, Kadakia and Magar",Mumbai,Garment Processing,Fabric Scraps,Organic,1689.84,Organic Contaminants,6.42,71.26,206.27,7242.56,231.01,4149.14,412.23,51.09,40.41,74.76,82.12,40.28,30.51,635275.79,5.91,96.67,54.57,45.02,124.56,Compressed Construction Blocks,High,JSW Green Materials,Noida,8.7,High,Moderately Recoverable,67.33,2026-05-05
RWAI-101617,"Sampath, Sura and Shan",Jaipur,Garment Processing,Cotton Fiber Waste,Mixed,6569.37,Low Contamination,7.07,808.51,360.08,7773.12,383.88,4769.16,54.22,58.71,35.0,84.17,85.83,93.16,21.46,1380985.71,5.31,53.48,40.83,76.77,416.8,Textile Composite Panels,Very High,Reliance Circular Ventures,Tiruppur,29.4,Medium,Moderately Recoverable,84.14,2025-12-31
RWAI-101618,Mahajan PLC,Panipat,Garment Processing,Synthetic Yarn Waste,Textile,9751.83,Chromium,6.66,1137.24,156.66,7702.04,422.97,1906.54,287.18,14.37,56.93,72.93,77.15,61.01,54.74,1919281.96,8.87,56.4,73.2,27.97,231.02,Automotive Soundproof Panels,Medium,Reliance Circular Ventures,Indore,35.6,Medium,Low Recovery Potential,41.91,2025-04-11
RWAI-101619,Dara-Hayre,Jaipur,Chemical Processing,Cotton Fiber Waste,Textile,703.67,Heavy Metals,8.79,233.63,429.68,3916.75,331.21,3879.62,312.83,19.82,28.98,96.71,75.65,64.35,49.76,596086.99,8.09,70.47,13.54,56.16,90.03,Biodegradable Packaging,Medium,RenewBuild India,Panipat,3.4,Low,Moderately Recoverable,87.38,2025-06-24
RWAI-101620,Kurian Group,Jaipur,Fabric Export Unit,Mixed Textile Waste,Leather,4794.05,High TDS,4.7,760.23,435.92,2833.63,305.04,3192.77,357.68,57.91,24.03,51.83,57.44,43.43,63.45,1345757.31,6.85,67.98,25.34,40.19,20.78,Biodegradable Packaging,Very High,RenewBuild India,Mumbai,25.4,High,Needs Advanced Treatment,51.23,2025-10-07
RWAI-101621,Sant and Sons,Ahmedabad,Chemical Processing,Cotton Fiber Waste,Polymer,7263.7,Microplastics,5.42,638.94,376.1,5053.61,318.86,1066.16,128.55,16.36,34.07,50.3,40.66,95.04,45.59,798477.81,4.69,92.52,85.27,87.42,198.4,Eco Concrete Additives,Medium,Asian Paints Eco Division,Surat,21.2,Medium,Low Recovery Potential,83.26,2026-01-19
RWAI-101622,Mallick Group,Ludhiana,Leather Processing,Denim Processing Sludge,Polymer,6904.68,Heavy Metals,6.95,729.1,489.07,4663.76,170.36,5412.07,389.29,40.64,21.2,60.37,47.82,57.22,35.71,2119508.2,4.15,86.37,12.42,36.24,7.2,Biodegradable Packaging,Very High,Asian Paints Eco Division,Tiruppur,29.1,Low,Needs Advanced Treatment,96.76,2026-04-03
RWAI-101623,Dugar-Mann,Panipat,Leather Processing,Chemical Effluent,Chemical,6482.22,Low Contamination,9.1,252.01,515.16,2828.17,165.66,1852.97,313.15,61.34,27.63,59.36,66.84,28.85,27.92,2268456.01,7.61,72.33,86.64,93.98,301.71,Acoustic Insulation Panels,High,Birla Eco Materials,Kanpur,28.5,High,Low Recovery Potential,88.19,2026-01-08
RWAI-101624,Manne Ltd,Mumbai,Garment Processing,Polyester Sludge,Leather,331.93,Oil Residue,6.27,1155.13,153.57,1741.93,100.1,5931.6,6.79,52.62,45.87,92.39,91.16,27.9,63.38,1234574.68,2.88,62.52,64.65,25.77,101.73,Recycled Fiber Boards,Very High,Godrej Interio Eco,Ludhiana,22.3,High,Low Recovery Potential,58.97,2024-03-12
RWAI-101625,Lad-Rana,Ludhiana,Synthetic Fiber Plant,Synthetic Yarn Waste,Leather,2958.74,Oil Residue,6.23,346.69,463.65,4158.98,378.99,4940.19,480.17,39.46,54.15,33.85,38.85,77.76,16.14,317947.3,4.52,56.18,31.66,27.63,324.15,Compressed Construction Blocks,Very High,Godrej Interio Eco,Tiruppur,18.9,High,Needs Advanced Treatment,90.59,2023-08-08
RWAI-101626,"Bora, Dara and Sandal",Panipat,Garment Processing,Printing Dye Residue,Polymer,233.36,Sulfide,5.11,571.81,598.04,2245.4,329.62,1024.8,401.73,30.34,24.57,78.57,69.16,49.42,12.82,2455301.88,5.66,56.63,52.22,29.38,386.7,Eco Furniture Boards,Very High,Mahindra Sustainable Solutions,Mumbai,35.5,Low,Needs Advanced Treatment,55.43,2024-03-27
RWAI-101627,Sundaram-Goswami,Indore,Fabric Export Unit,Industrial Wastewater,Chemical,6948.6,Chromium,5.93,1005.56,387.31,7168.62,440.34,2627.41,206.3,61.04,24.23,41.19,33.37,63.89,50.86,2370057.12,4.32,53.04,15.64,70.36,53.39,Sustainable Ceiling Panels,Emerging,JSW Green Materials,Noida,24.5,Low,Moderately Recoverable,75.91,2023-05-10
RWAI-101628,Saha PLC,Ahmedabad,Industrial Dyeing,Synthetic Yarn Waste,Chemical,1076.27,Oil Residue,5.54,309.8,449.31,3876.78,471.11,3009.07,314.05,33.76,53.93,88.74,77.95,60.8,74.05,697906.08,2.82,67.11,54.78,57.16,438.8,Eco Concrete Additives,High,JSW Green Materials,Bhiwandi,15.1,Low,Moderately Recoverable,52.11,2024-10-15
RWAI-101629,Bajaj LLC,Kanpur,Synthetic Fiber Plant,Mixed Textile Waste,Textile,8873.1,Low Contamination,4.95,986.45,120.59,659.53,430.15,2467.94,337.6,1.26,27.37,26.62,29.23,32.22,41.38,276190.9,8.55,96.49,10.05,84.64,474.56,Thermal Insulation Mats,High,Mahindra Sustainable Solutions,Panipat,28.4,Medium,Highly Recoverable,62.82,2025-11-07
RWAI-101630,Sabharwal-Zachariah,Coimbatore,Chemical Processing,Plastic Laminate Waste,Mixed,6265.29,Organic Contaminants,7.51,431.84,464.08,5649.94,134.24,1754.94,278.22,30.44,54.48,56.52,58.14,21.99,46.28,2129397.83,9.58,73.53,56.51,46.5,76.93,Textile Composite Panels,Medium,Mahindra Sustainable Solutions,Ahmedabad,15.8,Medium,Highly Recoverable,43.62,2024-10-16
RWAI-101631,Chada-Sawhney,Tiruppur,Garment Processing,Printing Dye Residue,Textile,5183.39,Low Contamination,4.84,696.63,210.3,3983.02,118.05,4037.16,452.73,42.44,20.19,69.62,57.53,60.67,44.34,2456983.51,4.35,80.94,79.82,33.26,137.6,Automotive Soundproof Panels,Very High,JSW Green Materials,Noida,34.5,Low,Moderately Recoverable,92.9,2024-01-29
RWAI-101632,"Randhawa, Ram and Sharaf",Noida,Synthetic Fiber Plant,Printing Dye Residue,Organic,9102.31,Lead,5.02,437.31,60.91,1838.05,287.1,4092.85,384.21,44.81,31.71,67.02,51.09,40.37,36.93,118573.86,9.49,85.74,31.48,68.28,198.18,Compressed Construction Blocks,Medium,Asian Paints Eco Division,Indore,32.8,Medium,Needs Advanced Treatment,65.22,2026-04-15
RWAI-101633,Kakar Ltd,Kanpur,Fabric Export Unit,Printing Dye Residue,Leather,8095.89,High TDS,6.13,1093.75,317.28,6522.15,316.06,1867.9,474.35,17.63,23.89,43.03,32.62,71.62,41.66,1194016.41,1.5,63.86,29.94,94.53,25.98,Automotive Soundproof Panels,High,Godrej Interio Eco,Panipat,16.1,High,Highly Recoverable,69.66,2026-04-03
RWAI-101634,Arora LLC,Coimbatore,Textile Manufacturing,Denim Processing Sludge,Mixed,5348.53,Lead,6.71,444.78,291.28,3488.28,225.49,3166.22,317.7,64.19,23.66,35.14,26.58,24.89,65.14,1014924.97,8.61,48.93,66.34,82.08,307.24,Green Roofing Sheets,Emerging,Adani Circular Infra,Ludhiana,27.2,Medium,Highly Recoverable,51.54,2024-04-09
RWAI-101635,Taneja-Ganesan,Mumbai,Fabric Export Unit,Fabric Scraps,Organic,4312.12,Color Pigments,5.68,562.47,161.89,2817.15,311.1,1945.93,478.86,39.79,37.58,71.41,54.09,33.53,44.05,1585214.45,8.29,75.27,55.71,70.63,15.54,Eco Concrete Additives,Medium,EcoPack India,Kanpur,33.6,Low,Needs Advanced Treatment,40.66,2025-07-21
RWAI-101636,"Aurora, Talwar and Sabharwal",Noida,Leather Processing,Industrial Wastewater,Organic,2560.62,Sulfide,7.6,1015.24,142.58,572.38,103.06,3572.33,97.12,17.95,51.98,37.97,40.14,70.26,55.25,1801731.36,2.99,56.69,23.5,71.25,176.4,Eco Paver Blocks,Very High,Mahindra Sustainable Solutions,Ludhiana,31.0,Low,Highly Recoverable,60.93,2025-11-14
RWAI-101637,"Sarma, Ramaswamy and Tiwari",Kanpur,Industrial Dyeing,Cotton Fiber Waste,Organic,9834.93,Chromium,8.63,1083.05,460.28,7565.04,327.24,4022.61,299.65,31.4,44.36,69.13,79.34,86.57,12.27,593890.49,1.01,87.37,89.5,37.98,8.24,Biodegradable Packaging,High,EcoPack India,Noida,32.9,Medium,Moderately Recoverable,70.26,2023-09-28
RWAI-101638,"Solanki, Hora and Issac",Jaipur,Garment Processing,Leather Processing Waste,Leather,5293.85,Oil Residue,8.26,212.85,267.57,547.78,421.17,5862.97,360.09,60.62,29.72,28.6,21.98,95.58,40.96,1442370.25,6.22,57.07,29.79,38.41,407.98,Circular Fashion Fibers,High,UltraTech EcoBuild,Coimbatore,4.3,Low,Moderately Recoverable,82.47,2026-02-28
RWAI-101639,Halder-Cheema,Tiruppur,Synthetic Fiber Plant,Textile Dye Waste,Textile,7961.4,Chromium,5.98,534.51,435.96,2675.58,237.62,5296.47,30.27,7.34,46.55,61.68,47.47,40.36,33.25,700881.58,4.93,60.83,50.87,35.22,384.89,Acoustic Insulation Panels,Medium,Birla Eco Materials,Panipat,19.5,High,Needs Advanced Treatment,79.52,2025-09-17
RWAI-101640,Dugar and Sons,Surat,Synthetic Fiber Plant,Fabric Scraps,Mixed,7613.03,Chromium,5.85,84.64,538.16,4806.57,89.02,3903.64,397.04,36.81,56.17,40.01,41.75,25.31,49.88,1324547.48,4.44,48.84,49.23,45.59,315.52,Compressed Construction Blocks,Very High,RenewBuild India,Panipat,4.9,Low,Moderately Recoverable,83.02,2025-10-08
RWAI-101641,"Kale, Chand and Kota",Kanpur,Synthetic Fiber Plant,Industrial Wastewater,Mixed,2623.97,Color Pigments,7.88,1147.08,317.72,5628.49,453.87,5975.24,281.17,25.54,55.0,35.7,32.72,48.06,15.14,1866939.41,8.56,76.14,81.95,57.71,308.46,Eco Paver Blocks,Very High,Godrej Interio Eco,Bhiwandi,14.9,Low,Moderately Recoverable,97.31,2023-12-10
RWAI-101642,"Mangal, Malhotra and Magar",Ludhiana,Synthetic Fiber Plant,Leather Processing Waste,Organic,4777.22,High TDS,5.49,1186.26,455.14,6723.62,385.92,1482.28,320.52,42.25,49.33,28.62,26.67,44.54,23.6,1319377.59,6.07,83.48,51.51,55.37,48.89,Sustainable Ceiling Panels,High,JSW Green Materials,Noida,18.5,Medium,Low Recovery Potential,32.87,2025-10-18
RWAI-101643,"Sama, Thakur and Dyal",Coimbatore,Textile Manufacturing,Textile Dye Waste,Chemical,6567.13,Microplastics,7.43,671.49,236.32,3402.75,254.9,2193.84,88.56,56.88,23.74,70.22,58.73,39.04,74.41,855206.66,8.17,54.66,41.26,37.28,364.42,Recycled Plastic Lumber,Medium,Birla Eco Materials,Indore,14.2,High,Highly Recoverable,49.06,2024-02-13
RWAI-101644,Tandon-Acharya,Panipat,Garment Processing,Leather Processing Waste,Organic,7850.04,Oil Residue,5.01,1017.67,374.51,2904.72,281.7,3383.3,366.25,58.18,27.24,84.07,95.62,88.98,11.92,35187.63,5.76,56.75,70.61,43.79,247.46,Thermal Insulation Mats,Very High,EcoPack India,Jaipur,24.9,Medium,Highly Recoverable,48.0,2025-07-25
RWAI-101645,Luthra Group,Bhiwandi,Synthetic Fiber Plant,Denim Processing Sludge,Mixed,1274.04,Heavy Metals,6.17,1066.61,535.53,1260.03,444.47,918.84,421.25,64.46,23.6,49.1,49.37,46.87,45.91,1382375.3,4.12,60.0,54.86,30.28,113.07,Textile Composite Panels,Medium,JSW Green Materials,Bhiwandi,10.0,Medium,Needs Advanced Treatment,90.06,2023-11-24
RWAI-101646,"Bail, Malhotra and Swamy",Noida,Leather Processing,Synthetic Yarn Waste,Polymer,7348.9,High TDS,5.21,253.74,89.9,7584.04,285.67,635.15,311.93,48.28,32.41,85.33,67.78,47.21,52.56,1340012.32,4.93,44.88,15.97,39.79,451.46,Eco Packaging Sheets,Emerging,Asian Paints Eco Division,Kanpur,31.5,High,Low Recovery Potential,33.92,2023-10-22
RWAI-101647,"Walla, Deshmukh and Ranganathan",Jaipur,Chemical Processing,Synthetic Yarn Waste,Chemical,1221.63,Organic Contaminants,8.62,578.81,218.52,4804.33,326.62,2490.19,381.54,37.1,49.73,68.57,67.46,23.51,28.76,1265258.78,2.21,76.3,29.02,83.93,185.12,Acoustic Insulation Panels,Very High,RenewBuild India,Ahmedabad,3.8,High,Low Recovery Potential,67.77,2023-07-26
RWAI-101648,"Deo, Boase and Ramachandran",Coimbatore,Chemical Processing,Chemical Effluent,Leather,4715.0,Sulfide,5.1,1017.06,440.16,5407.27,437.08,4196.79,325.39,12.82,43.63,58.61,45.95,60.01,65.87,2050135.86,5.52,55.81,62.09,24.13,308.79,Recycled Fiber Boards,Very High,Birla Eco Materials,Kanpur,26.6,High,Needs Advanced Treatment,82.5,2024-06-09
RWAI-101649,Sarma and Sons,Tiruppur,Textile Manufacturing,Polyester Sludge,Organic,8051.55,Oil Residue,7.78,823.5,512.91,6333.68,148.19,133.12,29.52,47.29,53.39,35.45,38.42,82.24,42.17,1992958.95,8.23,50.19,65.34,24.8,279.67,Low-Cost Modular Panels,High,Greenply Industries,Kanpur,33.0,Medium,Low Recovery Potential,32.41,2025-02-02
RWAI-101650,"Verma, Din and Soni",Noida,Leather Processing,Denim Processing Sludge,Textile,4830.69,Heavy Metals,5.78,523.47,594.66,7262.74,127.62,1441.81,478.68,68.02,36.59,49.16,39.11,94.93,36.82,85658.27,8.16,79.0,55.32,55.57,474.76,Acoustic Insulation Panels,Emerging,Asian Paints Eco Division,Kanpur,19.1,Medium,Needs Advanced Treatment,41.1,2023-11-05
RWAI-101651,Tella-Zachariah,Coimbatore,Chemical Processing,Textile Dye Waste,Chemical,3402.58,Lead,5.52,1059.13,284.29,2034.54,120.58,5627.75,13.86,58.97,41.04,53.28,48.31,83.6,27.01,2418000.99,4.9,90.64,29.31,47.47,358.18,Green Roofing Sheets,Medium,Adani Circular Infra,Surat,19.7,High,Moderately Recoverable,90.27,2026-01-13
RWAI-101652,Chatterjee Group,Ludhiana,Fabric Export Unit,Fabric Scraps,Chemical,1216.05,Chromium,7.65,846.44,581.61,6128.37,233.22,2913.13,381.14,54.32,58.88,33.06,32.34,76.68,33.84,673002.97,8.07,75.6,63.05,55.49,66.08,Eco Bricks,High,RenewBuild India,Noida,34.0,Low,Low Recovery Potential,37.49,2026-04-04
RWAI-101653,Iyer-Sant,Noida,Chemical Processing,Polyester Sludge,Leather,703.68,High TDS,7.78,1174.23,117.57,5128.7,322.51,3650.74,95.59,19.89,20.12,85.01,68.35,22.66,50.18,2439252.82,3.61,64.89,72.25,25.33,303.55,Sustainable Ceiling Panels,High,Asian Paints Eco Division,Mumbai,25.8,Low,Needs Advanced Treatment,94.05,2024-05-16
RWAI-101654,"Chopra, Amble and Saha",Noida,Chemical Processing,Fabric Scraps,Polymer,211.78,Microplastics,5.84,230.57,563.38,7954.43,215.29,1941.82,297.04,27.59,55.45,37.08,39.67,40.98,44.81,1950657.76,7.76,47.03,58.48,56.04,37.24,Eco Paver Blocks,Medium,UltraTech EcoBuild,Kanpur,4.8,Low,Low Recovery Potential,65.46,2026-01-18
RWAI-101655,Trivedi Group,Coimbatore,Industrial Dyeing,Plastic Laminate Waste,Leather,9141.3,High TDS,6.18,1136.12,554.4,3151.88,475.83,3035.25,153.29,45.32,42.87,73.81,60.67,85.34,46.63,469135.68,9.01,65.63,80.26,86.45,341.06,Industrial Pigments,Medium,Mahindra Sustainable Solutions,Surat,22.8,Medium,Needs Advanced Treatment,78.16,2026-01-03
RWAI-101656,Chawla-Kamdar,Kanpur,Fabric Export Unit,Leather Processing Waste,Chemical,430.73,Oil Residue,4.64,240.82,111.25,5220.88,167.84,1637.36,92.96,62.69,57.61,27.43,30.46,49.74,20.85,1199638.56,2.96,49.89,31.53,20.03,106.58,Acoustic Insulation Panels,Emerging,Greenply Industries,Tiruppur,10.4,High,Needs Advanced Treatment,42.59,2024-09-02
RWAI-101657,"Bains, Deshpande and Karpe",Jaipur,Garment Processing,Leather Processing Waste,Polymer,8808.7,Organic Contaminants,6.48,587.07,512.33,7534.73,258.37,1607.52,395.63,31.59,24.94,62.12,52.36,32.52,25.82,1588465.46,6.2,47.2,77.38,28.26,188.64,Low-Cost Modular Panels,Emerging,Greenply Industries,Tiruppur,24.9,Medium,Needs Advanced Treatment,62.95,2024-04-19
RWAI-101658,Kunda PLC,Bhiwandi,Industrial Dyeing,Cotton Fiber Waste,Chemical,5506.59,Sulfide,5.14,175.73,340.96,1613.9,259.64,3278.58,417.06,51.93,33.05,63.9,72.02,47.25,16.5,1696446.98,2.85,40.23,15.69,83.86,467.25,Automotive Soundproof Panels,Medium,Godrej Interio Eco,Ludhiana,13.2,Low,Highly Recoverable,85.99,2024-04-18
RWAI-101659,Walla-Shetty,Tiruppur,Leather Processing,Textile Dye Waste,Chemical,2801.25,Low Contamination,6.8,194.61,216.85,6305.07,119.11,4179.49,187.34,30.48,45.06,66.16,63.22,43.66,64.78,572762.42,2.43,53.23,26.3,74.67,388.36,Compressed Construction Blocks,Very High,UltraTech EcoBuild,Surat,17.3,Low,Low Recovery Potential,67.88,2025-09-12
RWAI-101660,"Deep, Bandi and Doshi",Ludhiana,Fabric Export Unit,Fabric Scraps,Mixed,1171.8,Heavy Metals,8.72,355.47,113.83,4559.19,336.76,3606.67,194.31,15.73,27.13,86.17,85.13,38.87,54.57,1856062.93,5.28,87.31,55.87,52.24,376.47,Eco Furniture Boards,High,Mahindra Sustainable Solutions,Panipat,13.7,Medium,Highly Recoverable,92.11,2024-11-19
RWAI-101661,Koshy Inc,Bhiwandi,Fabric Export Unit,Cotton Fiber Waste,Organic,8013.76,Lead,5.17,267.59,150.37,6476.13,47.65,1296.47,344.82,33.98,59.38,38.15,42.08,48.62,34.43,341066.55,4.68,51.93,39.94,62.89,351.88,Recycled Plastic Lumber,Very High,Mahindra Sustainable Solutions,Jaipur,36.0,Low,Needs Advanced Treatment,61.94,2025-11-13
RWAI-101662,"Tank, Ahluwalia and Badal",Coimbatore,Industrial Dyeing,Industrial Wastewater,Textile,7810.05,Heavy Metals,8.41,1011.37,25.82,7104.08,311.11,325.86,130.37,59.08,21.44,36.72,31.41,28.48,10.76,1187379.66,4.76,56.18,16.76,42.63,462.89,Automotive Soundproof Panels,Medium,Tata Sustainable Materials,Jaipur,17.5,Low,Low Recovery Potential,31.2,2025-12-02
RWAI-101663,"Varghese, Sridhar and Ganesh",Kanpur,Garment Processing,Leather Processing Waste,Polymer,8918.38,Low Contamination,7.97,798.72,268.08,2886.23,390.46,440.46,66.19,19.57,39.89,57.87,46.05,29.66,73.39,1005631.98,9.82,63.79,67.2,63.55,226.04,Sustainable Ceiling Panels,High,EcoPack India,Bhiwandi,35.8,High,Needs Advanced Treatment,41.44,2023-10-27
RWAI-101664,"Dasgupta, Amble and Gulati",Noida,Textile Manufacturing,Leather Processing Waste,Mixed,4728.32,Sulfide,9.03,406.6,465.22,5520.73,433.02,5740.27,224.27,36.0,59.49,52.65,52.41,34.01,34.72,756451.68,6.52,80.51,61.77,65.72,261.99,Eco Paver Blocks,Emerging,EcoPack India,Noida,8.4,Low,Low Recovery Potential,71.4,2026-01-19
RWAI-101665,Goda Ltd,Jaipur,Synthetic Fiber Plant,Polyester Sludge,Textile,188.77,Low Contamination,8.41,317.78,403.02,3345.98,445.37,3442.39,353.63,31.78,34.1,29.45,26.59,89.8,43.38,1048797.54,7.04,92.22,20.37,85.78,104.26,Acoustic Insulation Panels,High,Adani Circular Infra,Coimbatore,23.4,Low,Needs Advanced Treatment,37.08,2024-07-17
RWAI-101666,Mangal and Sons,Ahmedabad,Chemical Processing,Leather Processing Waste,Leather,3072.96,High TDS,4.67,245.07,245.73,682.39,489.7,4506.35,20.17,42.81,44.77,65.36,71.92,82.39,74.36,178866.83,5.8,50.57,69.62,66.82,248.94,Acoustic Insulation Panels,Medium,Adani Circular Infra,Ahmedabad,32.7,Low,Moderately Recoverable,96.82,2023-09-13
RWAI-101667,Mani-Chadha,Coimbatore,Fabric Export Unit,Denim Processing Sludge,Chemical,8280.44,Oil Residue,7.92,221.48,296.38,2012.23,238.7,424.42,34.08,32.08,54.83,77.64,64.27,70.86,15.6,1824468.0,7.51,92.0,89.31,20.3,492.68,Thermal Insulation Mats,High,UltraTech EcoBuild,Tiruppur,3.2,Medium,Low Recovery Potential,77.58,2025-04-09
RWAI-101668,"Zacharia, Babu and Uppal",Coimbatore,Fabric Export Unit,Industrial Wastewater,Polymer,3731.9,Chromium,5.07,644.78,459.07,5174.23,495.02,4070.95,304.86,18.38,56.29,48.13,40.54,37.71,29.57,2136948.67,8.82,62.45,45.33,52.61,14.79,Green Roofing Sheets,Emerging,Adani Circular Infra,Noida,6.3,Medium,Highly Recoverable,46.81,2023-05-20
RWAI-101669,Salvi-Guha,Kanpur,Chemical Processing,Mixed Textile Waste,Mixed,3383.38,Oil Residue,5.36,319.15,437.96,3433.42,73.22,2876.7,138.57,37.84,27.1,31.04,33.54,22.26,61.05,926805.24,2.83,57.6,58.15,54.14,144.84,Biodegradable Packaging,Medium,Adani Circular Infra,Mumbai,8.0,High,Highly Recoverable,60.07,2026-02-27
RWAI-101670,Bera-Kade,Coimbatore,Synthetic Fiber Plant,Fabric Scraps,Mixed,3758.38,Oil Residue,7.87,623.58,56.04,3627.16,375.72,492.0,413.81,17.22,21.3,38.03,38.29,50.27,41.04,239267.37,5.26,95.76,62.65,86.75,173.77,Recycled Fiber Boards,High,Adani Circular Infra,Bhiwandi,27.6,High,Low Recovery Potential,39.45,2024-08-18
RWAI-101671,Deo-Kara,Kanpur,Leather Processing,Leather Processing Waste,Textile,8525.98,Heavy Metals,8.74,436.78,278.6,4832.11,137.8,5224.72,77.37,50.76,25.84,30.4,33.72,38.18,53.54,464885.22,9.26,69.97,71.71,51.88,353.16,Sustainable Ceiling Panels,Medium,Godrej Interio Eco,Bhiwandi,19.2,High,Moderately Recoverable,41.25,2024-10-01
RWAI-101672,"Dani, Deshpande and Bhatnagar",Tiruppur,Garment Processing,Chemical Effluent,Textile,8534.29,Microplastics,4.62,1150.67,565.71,1804.61,355.02,3862.58,309.85,35.76,21.3,95.88,79.38,40.18,29.67,1810965.8,5.63,56.2,69.12,48.61,468.63,Low-Cost Modular Panels,Very High,Mahindra Sustainable Solutions,Ludhiana,9.3,Low,Needs Advanced Treatment,61.4,2023-11-10
RWAI-101673,Dash Ltd,Noida,Fabric Export Unit,Cotton Fiber Waste,Organic,1305.34,Oil Residue,8.73,1038.42,339.27,6153.32,404.2,3334.87,389.79,34.17,55.36,37.77,35.31,70.31,24.85,2387567.04,4.63,68.7,69.14,50.87,276.89,Sustainable Ceiling Panels,Very High,RenewBuild India,Surat,32.3,Low,Highly Recoverable,44.38,2024-05-04
RWAI-101674,Banik Inc,Tiruppur,Industrial Dyeing,Synthetic Yarn Waste,Polymer,2296.19,Low Contamination,7.91,718.69,525.96,7737.86,405.19,3197.26,205.59,3.66,57.61,25.49,29.12,36.67,65.91,2254176.67,7.46,59.62,74.84,80.26,402.67,Eco Bricks,Very High,Godrej Interio Eco,Bhiwandi,30.6,Medium,Low Recovery Potential,53.76,2024-10-27
RWAI-101675,Dada Group,Jaipur,Industrial Dyeing,Fabric Scraps,Chemical,3361.59,Low Contamination,8.17,151.36,571.44,2376.07,90.79,4456.73,322.85,13.28,52.54,43.66,49.75,75.52,23.48,2346029.55,8.97,54.42,52.42,78.35,252.02,Industrial Absorbent Pads,High,Birla Eco Materials,Surat,34.7,Medium,Needs Advanced Treatment,69.85,2024-01-18
RWAI-101676,Sandal-Vasa,Bhiwandi,Textile Manufacturing,Mixed Textile Waste,Mixed,7063.67,Sulfide,7.16,653.46,87.31,850.55,446.58,3761.35,319.36,20.63,54.07,55.25,58.13,83.11,66.98,718832.61,8.63,72.21,35.65,97.38,273.21,Eco Concrete Additives,Medium,Birla Eco Materials,Ahmedabad,35.9,Medium,Low Recovery Potential,93.8,2024-02-14
