batch_id,factory_name,city,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,recommended_product,recommended_buyer,upload_date
RW-10255,Anderson-Ingram,Tiruppur,Dye Residue,Organic,1119.68,Sulfide,7.72,109.62,255.1,1854.86,182.35,2567.45,166.08,43.53,39.12,49.11,38.68,63.72,13.78,87308.98,Acoustic Panels,CircularTex Pvt Ltd,2025-04-26
RW-10256,"Werner, Clarke and Dean",Ludhiana,Fabric Scraps,Chemical,3961.82,Organic Contaminants,7.53,313.24,256.22,3814.84,270.84,3866.32,174.76,53.63,31.6,41.02,37.11,77.46,21.06,287510.22,Insulation Boards,SustainFab Industries,2025-04-28
RW-10257,"Bishop, Fuller and Welch",Surat,Synthetic Fiber Residue,Textile,361.96,Color Pigments,5.05,769.65,233.48,3978.6,83.6,2046.68,24.1,24.67,21.27,65.82,72.34,70.98,51.74,268138.42,Recycled Fiber Sheets,GreenBuild Industries,2025-12-18
RW-10258,Richardson Group,Ludhiana,Fabric Scraps,Chemical,2022.8,Organic Contaminants,5.33,188.98,38.16,4842.32,253.62,427.4,44.84,57.35,22.37,94.21,68.88,70.25,5.97,271306.76,Recycled Fiber Sheets,RenewLoop Manufacturing,2024-10-18
RW-10259,"Buckley, Miller and Sutton",Ahmedabad,Industrial Wastewater,Polymer,130.25,Low Contamination,5.49,777.43,88.61,2082.64,70.01,1663.27,77.65,7.31,35.41,25.58,26.14,51.23,58.09,95282.65,Acoustic Panels,RenewLoop Manufacturing,2024-06-28
RW-10260,"Robinson, Prince and Tran",Ludhiana,Synthetic Fiber Residue,Polymer,831.06,Lead,4.71,124.71,249.65,2158.34,43.48,2276.06,11.41,15.98,23.28,92.22,90.54,83.41,41.77,347319.2,Eco Bricks,SustainFab Industries,2025-06-14
RW-10261,"Scott, Wilson and Smith",Ahmedabad,Fabric Scraps,Textile,4003.63,Chromium,5.58,624.58,155.0,2608.96,251.38,3300.86,97.99,19.32,47.39,32.27,34.95,25.22,11.9,457679.61,Eco Bricks,EcoPack Solutions,2025-01-01
RW-10262,"Gonzalez, Price and Jackson",Jaipur,Fabric Scraps,Chemical,4127.31,Sulfide,6.11,389.54,41.47,1417.03,159.4,442.2,135.67,3.21,43.69,58.77,54.69,78.34,59.48,247346.88,Acoustic Panels,GreenBuild Industries,2026-04-13
RW-10263,"Moore, Franklin and Harvey",Ahmedabad,Fabric Scraps,Organic,1320.5,Color Pigments,8.07,343.94,35.27,2616.42,243.62,524.84,122.93,23.08,33.32,53.0,57.72,68.81,21.21,465723.1,Industrial Pigments,UrbanEco Materials,2025-04-26
RW-10264,Watts-Farrell,Ludhiana,Cotton Wastewater,Organic,1926.07,Low Contamination,8.15,811.7,208.6,545.81,129.86,1450.12,91.0,44.13,29.51,38.06,32.29,55.6,29.88,313595.76,Insulation Boards,EcoPack Solutions,2025-08-23
RW-10265,Rice and Sons,Tiruppur,Fabric Scraps,Textile,3741.52,High TDS,5.03,897.35,111.78,4839.57,278.28,3428.38,39.21,3.03,32.87,80.0,83.73,28.94,29.13,77118.48,Eco Bricks,SustainFab Industries,2024-06-20
RW-10266,Davis and Sons,Tiruppur,Fabric Scraps,Organic,4686.6,High TDS,4.57,105.41,64.54,3165.58,209.38,1247.64,106.37,28.07,26.98,31.64,26.46,59.53,49.99,385507.02,Eco Packaging,CircularTex Pvt Ltd,2026-05-02
RW-10267,"Huff, Castillo and Duarte",Mumbai,Dye Residue,Textile,4899.21,Organic Contaminants,7.28,626.06,384.13,4450.61,214.37,1958.11,14.63,33.36,21.89,63.36,48.94,35.14,58.39,274177.87,Insulation Boards,UrbanEco Materials,2024-11-17
RW-10268,York Group,Ahmedabad,Dye Residue,Mixed,1291.15,Heavy Metals,4.58,385.25,16.55,4096.84,56.49,3732.88,192.13,48.46,31.13,20.33,21.31,62.0,26.41,246531.84,Industrial Pigments,SustainFab Industries,2024-12-26
RW-10269,Mendoza LLC,Ludhiana,Cotton Wastewater,Polymer,1326.41,Color Pigments,6.98,270.98,11.72,4277.67,200.65,1006.0,133.28,28.91,22.96,66.18,50.84,85.29,11.91,446459.47,Acoustic Panels,RenewLoop Manufacturing,2025-12-21
RW-10270,Miller-Davis,Surat,Dye Residue,Polymer,705.9,Microplastics,7.28,609.73,121.08,4578.02,163.62,2305.38,144.6,18.63,53.09,85.12,79.43,67.32,59.69,132261.82,Industrial Pigments,CircularTex Pvt Ltd,2025-04-22
RW-10271,Jackson-Jones,Ahmedabad,Dye Residue,Chemical,183.15,Color Pigments,8.48,890.01,267.56,621.95,157.0,3159.94,76.13,39.21,51.72,78.88,80.93,45.6,5.87,166828.93,Eco Packaging,EcoPack Solutions,2024-07-20
RW-10272,"Jensen, Friedman and Allen",Jaipur,Chemical Effluent,Textile,1657.05,Organic Contaminants,7.64,875.15,351.93,1167.8,204.3,2355.15,56.56,46.96,38.18,46.72,35.26,54.29,12.63,376986.28,Eco Packaging,UrbanEco Materials,2025-03-06
RW-10273,Carroll Ltd,Mumbai,Chemical Effluent,Textile,3524.72,Microplastics,8.7,166.45,192.31,348.78,165.75,3583.86,38.15,2.12,24.48,97.3,83.64,31.87,33.68,74738.18,Industrial Pigments,RenewLoop Manufacturing,2024-12-04
RW-10274,Mckenzie PLC,Surat,Fabric Scraps,Mixed,1835.36,Microplastics,6.21,493.77,293.42,1999.7,13.14,665.83,98.38,9.26,38.63,32.63,29.5,77.57,53.41,222910.05,Industrial Pigments,SustainFab Industries,2024-11-08
RW-10275,Sullivan-Johnston,Kanpur,Dye Residue,Mixed,3306.68,Lead,8.43,524.69,19.9,4756.78,162.67,3057.32,200.0,51.82,48.89,48.44,40.76,80.03,30.19,20853.65,Eco Bricks,RenewLoop Manufacturing,2025-11-09
RW-10276,Turner-Peterson,Surat,Fabric Scraps,Polymer,2503.22,Sulfide,5.57,653.51,30.79,875.05,284.33,1698.13,63.96,59.8,21.47,26.67,22.24,38.29,31.11,339039.1,Eco Bricks,GreenBuild Industries,2025-01-30
RW-10277,Knox Ltd,Ludhiana,Industrial Wastewater,Textile,2315.74,Lead,8.56,757.36,127.73,2985.2,96.99,2863.83,6.37,34.26,42.48,74.42,68.21,68.69,17.95,499975.98,Eco Packaging,EcoPack Solutions,2024-06-26
RW-10278,Young PLC,Coimbatore,Textile Dye Waste,Textile,2412.64,Heavy Metals,6.9,59.56,126.83,4482.47,145.91,800.72,101.67,53.95,33.16,50.25,42.61,88.01,59.18,168514.84,Industrial Pigments,GreenBuild Industries,2025-08-21
RW-10279,Harris-Rosales,Coimbatore,Cotton Wastewater,Polymer,4843.29,Chromium,8.57,598.07,387.76,822.98,47.03,2654.12,86.59,9.31,20.88,65.94,55.88,92.72,50.96,331316.58,Eco Packaging,CircularTex Pvt Ltd,2025-06-07
RW-10280,"Mckenzie, Rice and Wilkinson",Ahmedabad,Polyester Fiber Scrap,Mixed,4715.55,Color Pigments,4.88,364.44,343.51,4907.54,124.74,1133.61,195.5,33.79,42.83,51.79,42.7,51.36,37.77,266240.36,Industrial Pigments,EcoPack Solutions,2026-05-06
RW-10281,"Velez, Johnson and Arias",Kanpur,Synthetic Fiber Residue,Polymer,4519.44,Color Pigments,5.91,327.12,75.49,1715.84,194.55,2086.13,54.57,59.2,52.11,43.61,46.41,70.43,39.5,388695.59,Industrial Pigments,RenewLoop Manufacturing,2024-12-29
RW-10282,Ross-Carroll,Coimbatore,Cotton Wastewater,Mixed,469.42,Organic Contaminants,7.32,585.02,115.52,4527.72,65.75,3333.16,109.06,35.88,39.78,84.16,89.61,24.69,19.72,150164.97,Industrial Pigments,RenewLoop Manufacturing,2025-06-29
RW-10283,Wallace Ltd,Jaipur,Chemical Effluent,Textile,1530.15,Color Pigments,7.42,631.59,362.3,803.46,296.88,3215.97,196.24,15.82,34.07,64.06,64.24,91.45,42.04,132552.48,Acoustic Panels,GreenBuild Industries,2026-04-26
RW-10284,Webb Ltd,Coimbatore,Industrial Wastewater,Textile,2297.93,High TDS,7.88,764.3,250.3,406.64,234.67,2982.65,99.11,16.01,31.62,97.98,85.25,43.96,11.93,297962.58,Acoustic Panels,SustainFab Industries,2024-10-12
RW-10285,Thomas-Anderson,Coimbatore,Dye Residue,Organic,360.23,Heavy Metals,8.48,680.4,210.73,2398.35,218.28,1556.44,167.11,37.72,26.07,80.64,80.96,42.42,52.28,289548.37,Industrial Pigments,UrbanEco Materials,2024-10-16
RW-10286,Cook LLC,Kanpur,Polyester Fiber Scrap,Organic,2891.08,Low Contamination,7.99,757.58,42.51,1911.86,163.25,3049.92,74.92,46.25,25.25,67.91,50.01,24.54,37.19,165550.39,Industrial Pigments,UrbanEco Materials,2024-07-18
RW-10287,"Brown, Mills and Powell",Tiruppur,Mixed Textile Waste,Mixed,4645.55,Heavy Metals,5.55,798.47,189.4,3256.67,62.06,2420.65,44.33,47.31,50.24,86.55,79.57,28.98,39.19,301927.86,Eco Packaging,RenewLoop Manufacturing,2025-11-18
RW-10288,Jackson-Green,Ahmedabad,Chemical Effluent,Polymer,2675.54,Heavy Metals,8.58,398.6,169.32,2620.97,44.77,139.8,160.25,29.03,47.08,79.13,71.37,46.16,6.4,343303.67,Eco Bricks,SustainFab Industries,2024-12-21
RW-10289,"Rodriguez, Turner and Potter",Mumbai,Cotton Wastewater,Mixed,4379.17,Color Pigments,5.77,394.71,280.99,3125.79,51.61,162.41,40.42,1.89,46.4,52.62,57.7,65.92,53.48,257248.72,Recycled Fiber Sheets,RenewLoop Manufacturing,2025-08-12
RW-10290,"Williams, Foley and Coffey",Coimbatore,Industrial Wastewater,Polymer,178.81,Sulfide,7.23,51.98,270.67,4487.27,283.25,3610.1,14.22,58.09,38.72,97.02,74.51,21.26,19.99,396462.92,Recycled Fiber Sheets,SustainFab Industries,2024-09-04
RW-10291,"Wade, Allen and Curtis",Coimbatore,Cotton Wastewater,Organic,1517.67,High TDS,5.36,689.84,107.26,2768.83,298.89,512.57,162.48,33.96,38.93,81.12,80.81,27.75,59.88,357744.16,Industrial Pigments,CircularTex Pvt Ltd,2025-10-04
RW-10292,Jackson-Green,Ludhiana,Synthetic Fiber Residue,Textile,2322.89,Low Contamination,8.77,494.34,23.29,262.11,264.74,278.79,77.37,28.08,30.6,95.11,91.21,67.16,56.27,169409.91,Eco Packaging,RenewLoop Manufacturing,2024-05-28
RW-10293,"Henry, Navarro and Johnson",Kanpur,Textile Dye Waste,Polymer,154.06,Heavy Metals,6.78,507.17,185.28,1859.94,289.63,3910.36,187.2,30.4,35.72,76.84,77.88,90.95,42.93,41585.23,Eco Packaging,RenewLoop Manufacturing,2025-08-19
RW-10294,"Fox, Hall and Garcia",Ahmedabad,Textile Dye Waste,Organic,4976.26,Heavy Metals,6.74,389.26,69.73,3254.54,292.53,1300.72,167.08,34.36,41.79,49.94,50.04,30.52,9.1,261653.44,Industrial Pigments,SustainFab Industries,2024-07-17
RW-10295,Watson-Chen,Kanpur,Synthetic Fiber Residue,Polymer,3163.46,Microplastics,5.89,715.04,181.01,433.6,212.71,1106.8,112.88,27.92,35.51,58.03,42.82,27.57,10.69,46717.68,Eco Bricks,GreenBuild Industries,2024-08-01
RW-10296,Ortiz Group,Coimbatore,Fabric Scraps,Organic,1617.95,Oil Residue,5.45,260.59,336.89,1816.21,281.87,3243.72,156.26,26.54,44.03,65.11,70.86,65.28,49.11,433630.96,Recycled Fiber Sheets,UrbanEco Materials,2026-02-07
RW-10297,Young Ltd,Ludhiana,Cotton Wastewater,Organic,4986.9,Heavy Metals,4.62,92.02,62.01,1601.61,208.52,3215.21,139.66,53.08,47.5,59.06,43.3,80.76,6.98,259237.43,Recycled Fiber Sheets,GreenBuild Industries,2026-03-31
RW-10298,Cruz and Sons,Mumbai,Polyester Fiber Scrap,Textile,4804.59,Organic Contaminants,4.84,72.62,93.52,1254.64,218.54,3444.55,39.07,8.54,29.65,32.26,30.07,52.08,31.2,315736.98,Eco Packaging,RenewLoop Manufacturing,2026-01-07
RW-10299,"Webb, Weber and Meza",Tiruppur,Textile Dye Waste,Mixed,1539.58,Chromium,7.77,76.76,398.03,1091.23,251.92,3906.49,166.31,42.0,45.1,39.95,41.74,42.74,16.78,288187.55,Recycled Fiber Sheets,GreenBuild Industries,2024-11-17
RW-10300,"Gray, Nguyen and Hill",Ahmedabad,Industrial Wastewater,Textile,3777.45,Lead,7.79,872.06,188.34,4687.76,175.22,1455.16,74.6,25.02,48.87,20.49,21.42,27.5,40.02,384353.58,Eco Packaging,UrbanEco Materials,2025-07-28
RW-10301,"Brown, Lawrence and Harrison",Ahmedabad,Textile Dye Waste,Textile,4286.93,Chromium,5.93,694.46,98.92,3688.55,191.16,3607.53,191.33,52.69,43.64,35.81,28.29,60.24,46.27,342503.57,Industrial Pigments,UrbanEco Materials,2025-01-01
RW-10302,Galvan Group,Surat,Fabric Scraps,Chemical,1171.03,Color Pigments,8.21,755.93,283.78,1028.99,54.95,1258.6,124.88,13.54,31.62,81.63,60.99,60.77,19.77,283801.6,Industrial Pigments,EcoPack Solutions,2025-12-11
RW-10303,Hart LLC,Tiruppur,Sludge,Mixed,1211.31,Sulfide,5.91,111.78,10.43,1732.7,293.61,1526.6,106.97,56.93,36.67,69.63,56.2,21.28,59.1,20218.33,Eco Packaging,EcoPack Solutions,2025-05-12
RW-10304,"Harvey, Snyder and Cross",Tiruppur,Fabric Scraps,Organic,497.21,Low Contamination,7.62,777.18,277.45,1264.14,16.27,761.81,11.65,12.47,38.62,44.6,32.38,54.99,16.9,464261.03,Eco Bricks,SustainFab Industries,2025-05-03
RW-10305,Howell PLC,Ahmedabad,Textile Dye Waste,Textile,4634.26,Chromium,5.35,657.84,14.38,3398.74,236.97,102.69,39.74,11.62,43.65,56.84,39.96,46.99,26.27,172177.09,Eco Bricks,UrbanEco Materials,2025-03-25
RW-10306,Hamilton-Williamson,Ahmedabad,Fabric Scraps,Organic,1324.63,Low Contamination,7.38,471.5,48.76,2257.74,69.95,1034.02,70.96,45.0,52.8,28.57,22.13,61.84,53.26,20716.45,Industrial Pigments,CircularTex Pvt Ltd,2025-06-06
RW-10307,Woods PLC,Ahmedabad,Cotton Wastewater,Mixed,4040.42,Oil Residue,8.75,398.08,81.35,2657.01,9.17,3526.12,187.25,15.62,39.21,70.25,59.25,93.84,32.73,244912.09,Industrial Pigments,RenewLoop Manufacturing,2025-05-29
RW-10308,Travis-Gonzales,Ahmedabad,Synthetic Fiber Residue,Textile,2896.58,Sulfide,8.82,234.04,168.16,2364.54,24.36,535.05,34.87,36.68,27.27,43.19,33.45,50.59,32.42,274840.47,Eco Bricks,CircularTex Pvt Ltd,2025-01-30
RW-10309,Jones-Hunt,Kanpur,Fabric Scraps,Textile,2503.71,Oil Residue,6.22,755.27,241.0,4043.62,201.37,509.54,197.21,40.62,30.0,85.9,79.24,26.09,59.15,268165.74,Acoustic Panels,CircularTex Pvt Ltd,2025-09-09
RW-10310,"Gordon, Acevedo and Ward",Tiruppur,Sludge,Organic,4623.6,High TDS,7.43,360.29,208.47,1960.06,59.58,3251.35,187.51,31.53,49.69,91.39,64.58,88.05,32.97,145518.36,Recycled Fiber Sheets,EcoPack Solutions,2026-02-24
RW-10311,Farmer Ltd,Tiruppur,Mixed Textile Waste,Chemical,1954.45,Color Pigments,6.01,504.92,86.75,640.58,55.28,1721.1,140.94,51.95,48.28,24.7,18.06,72.1,32.41,376051.03,Eco Bricks,UrbanEco Materials,2024-06-09
RW-10312,Howard Inc,Coimbatore,Sludge,Mixed,4938.04,High TDS,6.5,166.9,286.65,3916.83,162.21,2638.47,152.74,14.15,36.28,48.28,37.05,70.36,27.19,139958.76,Eco Packaging,UrbanEco Materials,2024-07-21
RW-10313,Medina LLC,Kanpur,Sludge,Organic,3272.85,Chromium,7.19,870.39,87.13,3757.37,141.05,1117.05,79.67,32.44,52.99,76.58,81.31,39.8,35.91,224503.03,Acoustic Panels,GreenBuild Industries,2025-06-30
RW-10314,Davis-Gould,Ahmedabad,Fabric Scraps,Textile,4298.34,Microplastics,5.0,76.41,139.14,202.07,14.89,1587.3,130.89,32.22,26.57,25.99,28.27,32.54,33.33,65231.09,Industrial Pigments,UrbanEco Materials,2025-02-28
RW-10315,Perry LLC,Ahmedabad,Mixed Textile Waste,Mixed,851.15,Heavy Metals,5.3,483.37,56.58,1501.32,232.03,827.37,166.28,55.74,31.09,62.93,63.7,32.41,7.08,398780.93,Insulation Boards,RenewLoop Manufacturing,2026-04-29
RW-10316,Melendez-Davis,Mumbai,Synthetic Fiber Residue,Chemical,2449.51,Oil Residue,5.2,247.33,132.34,4999.88,148.53,3454.31,119.23,14.29,53.58,67.87,71.19,39.43,29.32,52450.14,Eco Packaging,SustainFab Industries,2024-08-22
RW-10317,Miller-Ellis,Tiruppur,Textile Dye Waste,Organic,307.5,Low Contamination,5.36,320.1,97.42,1557.13,189.71,893.49,129.05,56.88,51.46,25.42,19.86,56.68,42.64,371115.38,Eco Bricks,SustainFab Industries,2024-12-24
RW-10318,"Jackson, Jackson and Frazier",Tiruppur,Textile Dye Waste,Textile,4741.6,Microplastics,8.81,837.74,26.51,1466.55,264.0,1160.11,108.54,25.32,44.37,92.77,82.66,64.57,17.31,401721.65,Eco Packaging,UrbanEco Materials,2025-12-19
RW-10319,"Nichols, Gill and Wagner",Kanpur,Chemical Effluent,Chemical,2003.66,Organic Contaminants,8.65,631.27,244.51,2976.71,262.49,2220.47,80.77,29.52,45.92,68.71,61.8,64.47,54.66,323176.53,Eco Bricks,GreenBuild Industries,2025-11-14
RW-10320,Williams-Houston,Surat,Dye Residue,Mixed,4464.54,Lead,8.07,314.65,211.54,1500.93,32.96,3900.36,127.71,47.41,42.7,56.35,61.5,28.98,39.25,11999.3,Industrial Pigments,EcoPack Solutions,2024-12-21
RW-10321,"Fuentes, Adams and Stanley",Jaipur,Cotton Wastewater,Textile,2330.39,Organic Contaminants,6.14,119.66,320.69,3466.0,132.22,267.92,199.01,43.05,39.14,53.76,52.54,69.18,9.41,120022.76,Eco Bricks,RenewLoop Manufacturing,2024-10-01
RW-10322,"Stout, Wilkins and Massey",Tiruppur,Chemical Effluent,Mixed,4067.95,Heavy Metals,4.81,297.61,196.79,1584.05,121.99,131.78,194.89,4.7,24.29,69.18,60.54,33.53,48.39,249666.43,Eco Bricks,UrbanEco Materials,2026-03-12
RW-10323,Curry Inc,Surat,Mixed Textile Waste,Chemical,3036.07,Sulfide,4.53,293.13,236.75,2557.31,57.9,1298.98,88.61,20.81,32.31,61.55,49.32,77.89,33.64,182056.1,Eco Bricks,EcoPack Solutions,2024-12-29
RW-10324,French-Wilson,Ludhiana,Industrial Wastewater,Chemical,4355.24,Chromium,4.87,724.31,198.47,4504.74,298.32,163.97,12.47,18.57,34.48,62.54,56.32,90.74,20.51,200033.6,Industrial Pigments,RenewLoop Manufacturing,2026-04-11
RW-10325,Watson-Cox,Jaipur,Cotton Wastewater,Organic,4163.15,Sulfide,4.86,471.71,275.57,1605.86,217.54,1527.23,48.98,51.18,51.4,37.72,41.33,24.93,36.91,405253.04,Eco Bricks,CircularTex Pvt Ltd,2025-11-25
RW-10326,"George, Fuller and Todd",Mumbai,Cotton Wastewater,Mixed,1344.88,Lead,5.8,660.08,39.51,1565.34,177.01,724.7,179.22,32.53,29.25,26.86,23.97,39.98,48.96,431135.63,Eco Packaging,GreenBuild Industries,2024-05-12
RW-10327,Lopez-Gibson,Tiruppur,Mixed Textile Waste,Mixed,1018.97,Microplastics,7.4,410.79,76.61,3433.36,240.64,2822.18,140.34,19.59,52.61,48.08,35.45,76.84,16.97,458578.1,Eco Bricks,GreenBuild Industries,2025-02-26
RW-10328,Jennings LLC,Mumbai,Textile Dye Waste,Polymer,4985.7,Oil Residue,7.08,583.99,374.7,1956.93,104.0,496.22,166.85,4.79,32.79,66.07,56.51,61.79,54.78,143789.85,Eco Bricks,RenewLoop Manufacturing,2026-01-03
RW-10329,"Hernandez, Gibson and Wilson",Surat,Fabric Scraps,Organic,3056.55,Lead,8.88,576.57,56.32,4645.35,95.18,1746.09,194.7,25.26,26.0,26.61,26.83,89.31,33.63,424115.61,Eco Packaging,GreenBuild Industries,2025-02-07
RW-10330,"Jones, Hall and Smith",Tiruppur,Cotton Wastewater,Polymer,3662.96,Chromium,7.59,79.26,339.75,2884.43,68.51,987.34,190.84,56.36,32.27,72.8,76.0,33.65,17.46,39579.11,Industrial Pigments,EcoPack Solutions,2025-04-04
RW-10331,Gutierrez Group,Surat,Industrial Wastewater,Mixed,451.98,Chromium,5.59,279.61,264.86,4803.3,222.26,2951.47,79.67,45.1,33.26,32.34,29.34,87.8,55.69,153732.26,Acoustic Panels,UrbanEco Materials,2024-09-26
RW-10332,"Walton, Arellano and Armstrong",Jaipur,Dye Residue,Textile,2621.66,Chromium,5.68,800.75,263.54,2432.59,9.6,2587.51,64.27,45.54,54.38,38.83,29.7,54.74,40.75,379941.22,Insulation Boards,RenewLoop Manufacturing,2026-03-13
RW-10333,Morgan and Sons,Tiruppur,Sludge,Mixed,2526.99,Sulfide,5.59,777.34,298.09,4102.74,49.63,1164.82,17.22,37.96,36.09,34.41,33.65,92.2,37.65,494762.74,Insulation Boards,CircularTex Pvt Ltd,2025-01-20
RW-10334,Madden Ltd,Ahmedabad,Synthetic Fiber Residue,Organic,1284.62,Chromium,6.59,668.64,26.48,1377.9,255.38,1286.48,32.91,12.13,30.75,44.89,40.18,26.45,21.81,354540.44,Acoustic Panels,EcoPack Solutions,2026-04-02
RW-10335,Smith-Kim,Mumbai,Sludge,Polymer,4200.04,Heavy Metals,8.42,58.32,91.79,4993.35,55.51,1231.12,77.0,44.6,38.19,46.24,36.79,42.08,58.27,199254.43,Insulation Boards,CircularTex Pvt Ltd,2025-09-06
RW-10336,King-Oconnor,Tiruppur,Industrial Wastewater,Polymer,583.28,Color Pigments,6.8,555.6,149.0,3380.08,217.95,2473.41,195.67,21.32,31.78,47.06,41.89,61.97,46.96,220875.45,Acoustic Panels,EcoPack Solutions,2024-06-14
RW-10337,"Jones, Pratt and Novak",Mumbai,Textile Dye Waste,Organic,1801.98,High TDS,8.96,377.9,100.61,1327.19,38.84,1459.29,63.6,42.26,30.23,65.14,57.29,44.61,30.15,350250.7,Eco Bricks,RenewLoop Manufacturing,2024-09-22
RW-10338,"Kline, Smith and Johnson",Ludhiana,Dye Residue,Mixed,356.63,Color Pigments,5.4,410.95,156.56,4056.41,44.4,1466.3,154.53,17.91,42.23,89.66,68.91,56.86,31.44,488714.67,Insulation Boards,UrbanEco Materials,2025-03-10
RW-10339,"Nolan, Evans and Noble",Mumbai,Chemical Effluent,Organic,4670.21,Low Contamination,5.25,670.21,371.43,1322.6,265.82,3347.01,170.14,23.02,38.38,23.23,20.94,26.86,21.04,265026.29,Eco Packaging,CircularTex Pvt Ltd,2025-01-04
RW-10340,"Baker, Allen and Winters",Mumbai,Fabric Scraps,Chemical,4798.49,High TDS,8.55,143.91,146.59,2945.17,102.56,364.92,119.85,40.32,50.73,50.81,42.59,54.88,48.48,243284.23,Eco Bricks,EcoPack Solutions,2024-08-19
RW-10341,Jefferson-Williams,Mumbai,Dye Residue,Mixed,2899.95,Low Contamination,4.73,339.27,65.52,3916.8,161.58,1152.22,123.67,47.22,20.1,34.73,38.12,81.57,29.89,90095.9,Acoustic Panels,CircularTex Pvt Ltd,2025-11-14
RW-10342,Guerrero Ltd,Ludhiana,Mixed Textile Waste,Mixed,1069.83,Oil Residue,8.69,550.73,372.33,2514.53,68.53,2786.92,144.97,22.94,28.68,22.92,23.09,90.13,46.67,424625.04,Eco Packaging,SustainFab Industries,2025-09-23
RW-10343,"Lopez, Davis and Marshall",Surat,Mixed Textile Waste,Textile,387.46,Organic Contaminants,5.76,346.45,340.56,550.67,165.56,1395.56,81.81,27.65,44.08,47.59,41.09,74.9,35.66,275401.27,Recycled Fiber Sheets,RenewLoop Manufacturing,2024-12-02
RW-10344,Barber Inc,Kanpur,Fabric Scraps,Polymer,4154.1,High TDS,5.49,404.34,347.65,612.54,247.44,765.43,173.68,27.65,33.83,67.05,54.29,89.26,15.32,358499.36,Industrial Pigments,CircularTex Pvt Ltd,2025-04-03
RW-10345,Weber-Sullivan,Tiruppur,Textile Dye Waste,Polymer,2809.65,Sulfide,6.88,712.89,310.47,4411.98,46.17,1240.71,52.75,16.52,23.53,56.59,52.67,25.13,21.74,230160.27,Eco Packaging,CircularTex Pvt Ltd,2024-06-28
RW-10346,Price-Anthony,Tiruppur,Industrial Wastewater,Chemical,3708.81,Sulfide,5.85,678.52,24.97,4688.43,164.93,243.96,100.01,12.7,39.95,96.26,81.81,65.39,41.06,213784.44,Eco Packaging,CircularTex Pvt Ltd,2025-09-17
RW-10347,Villanueva-Hart,Mumbai,Mixed Textile Waste,Mixed,1861.77,Color Pigments,7.07,123.39,266.98,827.9,135.24,3699.94,53.67,34.94,41.13,34.29,36.13,86.68,29.2,38643.78,Eco Bricks,CircularTex Pvt Ltd,2025-01-29
RW-10348,"Campbell, Sanchez and Neal",Tiruppur,Sludge,Textile,3543.47,Color Pigments,8.12,303.93,214.91,970.47,186.09,3388.47,89.25,48.67,21.6,27.35,22.51,40.52,6.4,208637.45,Recycled Fiber Sheets,EcoPack Solutions,2024-12-07
RW-10349,"Bryant, Miller and Lopez",Jaipur,Textile Dye Waste,Organic,2896.16,Heavy Metals,6.93,247.39,322.83,4365.19,21.12,375.09,39.95,33.31,26.03,38.0,41.05,78.7,59.15,423977.76,Recycled Fiber Sheets,UrbanEco Materials,2025-01-01
RW-10350,"Robles, Mitchell and Walker",Ludhiana,Polyester Fiber Scrap,Mixed,1483.26,Chromium,5.96,742.74,194.48,3909.27,179.53,3507.23,113.96,22.31,36.95,45.92,33.01,20.16,18.01,418964.36,Eco Bricks,EcoPack Solutions,2025-08-16
RW-10351,Becker Group,Ludhiana,Fabric Scraps,Organic,4592.29,Low Contamination,6.01,331.41,126.69,4545.69,199.35,1856.3,56.26,28.26,41.71,66.27,60.45,73.74,24.47,48169.14,Eco Bricks,UrbanEco Materials,2024-08-07
RW-10352,"Watson, Davis and Ibarra",Ludhiana,Textile Dye Waste,Organic,4431.68,High TDS,8.89,246.23,161.68,4128.86,160.32,2393.29,139.15,6.77,47.42,63.69,64.41,22.63,47.47,141898.66,Eco Packaging,RenewLoop Manufacturing,2025-12-01
RW-10353,"Thomas, Cook and Deleon",Kanpur,Polyester Fiber Scrap,Mixed,207.23,Microplastics,7.27,701.01,225.01,819.18,256.1,1290.78,180.5,6.53,36.81,63.55,51.01,37.52,8.86,283735.43,Recycled Fiber Sheets,UrbanEco Materials,2025-06-23
RW-10354,Burke-Hayden,Ahmedabad,Textile Dye Waste,Textile,4029.2,Sulfide,7.86,93.32,356.97,4237.92,86.18,309.82,99.3,28.04,52.17,52.45,45.09,25.5,57.61,356060.01,Insulation Boards,RenewLoop Manufacturing,2025-09-22
RW-10355,Campbell-King,Surat,Mixed Textile Waste,Polymer,2653.43,Chromium,8.37,608.47,100.1,4457.26,207.66,2331.41,143.82,3.13,25.58,69.27,73.69,37.12,23.7,252885.54,Recycled Fiber Sheets,EcoPack Solutions,2024-05-24
RW-10356,Rogers Ltd,Ahmedabad,Textile Dye Waste,Organic,975.5,Heavy Metals,8.29,697.09,241.56,1668.19,7.35,2825.1,26.26,47.81,37.08,34.64,30.97,72.03,58.65,119699.03,Insulation Boards,RenewLoop Manufacturing,2025-11-05
