batch_id,factory_name,city,state,industry_type,waste_type,material_category,quantity_kg,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,contaminants,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
SEC-038-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,12633.82,8.45,1372.05,471.41,7576.4,234.58,1338.5,460.04,50.24,37.58,Heavy Metals,54.67,52.9,83.94,42.57,5.87,65.9,33.84,95.04,285.63,26.26,8.05,4130985.14,Acoustic Insulation Panels,Medium,GreenBuild Gujarat,Low,Low Recovery Potential,85.54,23.2,2025-02-07
SEC-039-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Mixed,5115.57,5.68,436.52,625.5,7200.17,449.56,1128.87,254.38,24.89,31.82,Heavy Metals,69.28,67.39,72.6,59.61,4.28,93.77,21.63,51.7,132.79,31.17,42.07,3661807.25,Eco Packaging Sheets,High,GreenBuild Gujarat,Low,Needs Advanced Treatment,76.47,14.5,2025-02-08
SEC-039-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,6711.31,7.35,859.86,498.82,4204.29,532.16,2550.35,143.06,2.67,56.93,Oil Residue,68.2,67.33,67.82,15.46,3.07,47.19,48.16,95.93,292.97,39.27,50.69,1333945.63,Eco Packaging Sheets,Medium,Reliance Circular Ventures,Low,Needs Advanced Treatment,51.84,8.4,2025-02-08
SEC-039-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,1235.52,7.5,1037.04,40.47,6981.24,116.58,6296.22,373.56,31.43,47.74,Organic Contaminants,70.98,68.81,89.95,54.72,9.15,54.47,22.74,82.92,326.62,25.0,18.14,1659429.21,Compressed Construction Blocks,Emerging,EcoPack India,Medium,Low Recovery Potential,66.1,8.3,2025-02-08
SEC-039-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,11235.6,5.83,318.84,602.92,5932.35,480.17,951.57,40.11,66.25,55.52,Low Contamination,45.92,50.23,47.68,32.83,6.86,82.88,55.59,78.96,7.21,34.81,51.96,4361567.75,Industrial Pigments,High,Reliance Circular Ventures,High,Needs Advanced Treatment,76.91,13.4,2025-02-08
SEC-039-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,527.38,7.76,1201.82,81.22,4611.88,194.56,442.56,364.79,48.79,27.4,Heavy Metals,82.35,77.28,32.98,39.69,8.8,53.8,62.59,46.97,365.61,76.67,9.66,139994.08,Eco Packaging Sheets,Emerging,JSW Green Materials,Low,Needs Advanced Treatment,92.3,28.4,2025-02-08
SEC-040-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,12907.01,7.64,542.05,357.07,810.58,316.97,5814.02,564.81,35.75,48.5,Chromium,54.01,48.96,66.75,23.9,3.77,54.13,67.96,90.52,156.08,25.61,30.2,881844.89,Industrial Pigments,High,UltraTech EcoBuild,Medium,Moderately Recoverable,54.86,28.3,2025-02-09
SEC-040-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Mixed,13835.48,6.6,1222.5,387.8,5579.54,618.09,6659.69,16.22,42.61,57.16,Color Pigments,55.22,52.85,64.14,45.67,3.75,49.65,59.95,70.72,312.47,61.59,60.32,997008.12,Eco Bricks,Very High,UltraTech EcoBuild,Medium,Highly Recoverable,72.87,29.0,2025-02-09
SEC-040-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,12777.26,8.41,543.63,388.8,3405.6,200.35,2887.51,472.82,51.18,43.39,Oil Residue,46.39,48.18,65.26,45.31,5.3,51.68,62.14,59.67,446.21,86.99,25.88,444987.55,Compressed Construction Blocks,Medium,GreenBuild Gujarat,Low,Needs Advanced Treatment,62.01,10.7,2025-02-09
SEC-041-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,14353.51,6.87,831.15,452.36,6394.71,32.85,5782.22,287.94,66.47,40.84,Organic Contaminants,82.87,75.6,33.62,63.44,4.11,62.14,79.88,62.79,378.28,39.42,28.74,1331894.47,Compressed Construction Blocks,Very High,EcoPack India,Medium,Needs Advanced Treatment,49.19,24.9,2025-02-10
SEC-041-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,1149.72,8.51,918.06,103.33,454.51,77.25,6561.31,218.25,36.08,55.5,Low Contamination,57.47,60.85,61.78,34.61,5.62,54.1,44.8,79.02,28.75,77.47,50.27,1139071.04,Acoustic Insulation Panels,High,Reliance Circular Ventures,Low,Low Recovery Potential,84.06,29.1,2025-02-10
SEC-041-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,2528.7,5.29,889.54,451.71,8183.24,223.35,3701.74,495.24,32.61,57.17,Color Pigments,45.55,47.61,79.3,11.46,2.5,59.96,71.73,42.06,161.4,75.63,46.73,4221376.61,Thermal Insulation Boards,High,UltraTech EcoBuild,High,Low Recovery Potential,61.05,20.3,2025-02-10
SEC-041-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Chemical,7201.69,7.05,728.45,127.79,8922.58,415.79,1604.82,526.25,9.74,35.27,Oil Residue,70.96,76.4,65.58,29.76,6.2,70.56,44.11,36.28,212.23,92.95,29.38,3913498.09,Acoustic Insulation Panels,Very High,GreenBuild Gujarat,High,Low Recovery Potential,57.68,25.6,2025-02-10
SEC-041-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,10805.82,5.97,1336.34,493.49,2748.52,140.19,5603.43,97.78,3.45,47.08,Low Contamination,40.17,40.91,36.8,49.11,4.15,50.67,20.43,33.32,323.71,47.59,53.32,3591667.78,Thermal Insulation Boards,Very High,Reliance Circular Ventures,High,Low Recovery Potential,87.9,25.6,2025-02-10
SEC-042-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,10222.55,6.75,1238.95,680.35,530.23,511.86,3145.0,110.49,65.01,47.77,Chromium,96.6,78.97,49.02,49.77,4.63,91.7,24.52,86.2,325.06,37.28,62.81,944069.49,Acoustic Insulation Panels,High,JSW Green Materials,Medium,Low Recovery Potential,51.81,29.8,2025-02-11
SEC-042-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Mixed,10041.89,6.69,136.38,225.89,7187.83,476.1,6040.52,161.15,5.45,56.21,Heavy Metals,67.31,70.05,46.31,38.23,2.73,88.51,74.28,98.52,16.69,50.74,17.58,2078337.23,Eco Packaging Sheets,Very High,Reliance Circular Ventures,Low,Needs Advanced Treatment,39.26,12.3,2025-02-11
SEC-042-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,4806.53,7.49,670.6,562.54,7912.64,363.95,4642.01,524.36,37.01,42.07,Heavy Metals,92.94,77.21,46.65,52.89,9.27,62.79,41.98,32.73,112.34,23.68,47.86,2465476.24,Thermal Insulation Boards,High,JSW Green Materials,Low,Moderately Recoverable,69.77,27.3,2025-02-11
SEC-042-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Chemical,5978.59,7.04,897.64,122.65,8378.18,541.56,6456.06,264.01,18.58,32.24,Heavy Metals,62.23,49.88,42.34,30.12,7.14,57.36,38.54,68.19,201.96,24.26,61.14,3531522.47,Compressed Construction Blocks,High,GreenBuild Gujarat,Low,Highly Recoverable,36.8,20.8,2025-02-11
SEC-043-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,788.45,6.3,787.29,602.79,8756.72,189.88,2913.69,309.26,51.71,43.13,Organic Contaminants,93.09,84.98,65.23,61.24,6.7,77.54,34.66,78.2,364.21,44.79,22.04,2062451.58,Acoustic Insulation Panels,Emerging,EcoPack India,Medium,Low Recovery Potential,64.19,21.9,2025-02-12
SEC-043-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,14443.17,6.16,1130.86,241.38,7235.35,638.53,6176.2,426.19,59.54,57.98,Oil Residue,40.8,36.95,70.42,14.82,9.58,66.9,34.0,81.46,19.75,64.61,52.99,323394.79,Industrial Pigments,Emerging,Reliance Circular Ventures,Low,Highly Recoverable,42.34,24.1,2025-02-12
SEC-043-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,12595.49,6.32,1131.58,279.6,2504.73,593.83,3583.15,586.49,65.02,29.54,Oil Residue,55.33,44.72,55.22,57.15,7.64,71.04,45.02,75.54,62.46,36.56,33.66,4098211.19,Thermal Insulation Boards,Medium,GreenBuild Gujarat,Low,Needs Advanced Treatment,59.99,5.3,2025-02-12
SEC-043-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,6553.56,5.99,529.86,394.79,3544.32,566.86,6360.45,327.26,21.1,45.05,Oil Residue,45.04,42.38,76.04,41.52,2.09,79.19,31.33,48.39,110.41,72.47,9.6,519181.82,Industrial Pigments,High,Reliance Circular Ventures,Medium,Low Recovery Potential,87.59,25.9,2025-02-12
SEC-043-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,11925.32,5.31,202.06,180.74,5186.88,440.26,8245.49,398.78,43.99,56.87,Organic Contaminants,71.63,63.9,59.02,28.26,5.5,58.32,29.96,68.08,105.81,47.1,27.01,324280.57,Compressed Construction Blocks,Emerging,JSW Green Materials,High,Low Recovery Potential,81.21,12.9,2025-02-12
SEC-044-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,6870.44,5.88,941.53,221.51,3013.09,343.08,6969.01,448.32,3.51,45.45,Organic Contaminants,92.53,99.95,35.44,33.82,1.24,51.98,60.19,91.63,242.74,48.49,29.83,3331447.6,Eco Packaging Sheets,Very High,Reliance Circular Ventures,Low,Highly Recoverable,44.29,27.5,2025-02-13
SEC-044-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,12329.69,7.6,1326.47,610.59,7776.73,128.81,2021.98,584.72,8.28,46.69,Heavy Metals,78.85,66.03,25.78,54.84,4.06,47.28,29.64,59.45,414.92,92.05,57.56,407869.74,Eco Packaging Sheets,Very High,Reliance Circular Ventures,Medium,Moderately Recoverable,89.62,24.1,2025-02-13
SEC-044-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,14762.99,6.57,1056.69,326.19,8358.84,503.9,6059.27,304.94,32.05,52.43,Chromium,96.95,105.88,44.89,57.03,6.72,51.64,10.2,45.45,21.96,51.0,30.15,160008.08,Thermal Insulation Boards,High,JSW Green Materials,High,Low Recovery Potential,72.39,7.1,2025-02-13
SEC-044-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,11585.01,5.53,1334.99,337.67,3897.15,625.13,3223.74,318.86,62.22,25.58,Low Contamination,42.49,36.05,50.11,56.34,2.11,96.69,49.07,81.81,59.95,72.06,48.44,3944132.67,Eco Packaging Sheets,High,EcoPack India,Medium,Low Recovery Potential,75.78,11.5,2025-02-13
SEC-045-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Chemical,2233.52,8.38,263.85,72.48,5636.1,123.05,7961.15,315.21,8.33,47.68,Oil Residue,92.07,93.89,74.17,17.96,7.5,47.09,20.04,91.72,422.98,22.44,63.51,2499147.93,Eco Bricks,Very High,EcoPack India,High,Low Recovery Potential,55.25,10.0,2025-02-14
SEC-045-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,9381.08,7.62,960.2,119.1,7935.57,231.85,6993.27,528.84,48.79,46.06,Heavy Metals,88.89,84.6,79.13,19.61,9.74,88.5,35.46,88.26,435.21,23.99,29.34,2279927.33,Thermal Insulation Boards,Emerging,JSW Green Materials,Medium,Needs Advanced Treatment,46.82,9.9,2025-02-14
SEC-045-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,14075.58,5.55,128.77,507.66,8991.72,501.77,5709.15,133.83,58.53,54.02,Organic Contaminants,44.79,43.24,56.41,23.26,2.57,91.74,33.61,56.16,239.51,85.91,23.94,4282446.39,Eco Bricks,Very High,UltraTech EcoBuild,High,Low Recovery Potential,83.73,14.1,2025-02-14
SEC-046-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,2535.24,7.04,980.91,143.94,7525.22,211.81,4891.68,543.93,63.45,27.62,Low Contamination,92.53,88.34,47.12,37.55,7.41,85.21,56.59,77.29,389.63,61.04,21.11,1650717.7,Industrial Pigments,High,Reliance Circular Ventures,Low,Low Recovery Potential,36.21,4.6,2025-02-15
SEC-046-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,14327.42,7.57,299.21,184.35,1808.62,340.57,7651.49,491.57,62.89,30.41,Chromium,86.81,86.29,79.65,63.21,1.03,67.73,51.88,76.99,185.8,90.57,63.21,1595572.87,Compressed Construction Blocks,Very High,GreenBuild Gujarat,Medium,Needs Advanced Treatment,55.32,7.0,2025-02-15
SEC-047-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,962.21,5.73,1014.49,411.73,3278.04,566.83,1364.3,100.93,52.26,26.58,Low Contamination,49.36,40.99,59.01,64.64,6.54,80.14,39.61,41.66,428.54,21.31,53.77,525702.7,Thermal Insulation Boards,Very High,GreenBuild Gujarat,High,Highly Recoverable,73.82,27.6,2025-02-16
SEC-047-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,4534.41,8.46,218.51,465.42,7636.97,363.31,2385.25,197.44,37.36,46.27,Color Pigments,74.3,61.97,86.79,12.93,8.92,60.17,47.35,86.47,100.3,77.22,40.19,4219220.22,Industrial Pigments,High,UltraTech EcoBuild,High,Needs Advanced Treatment,83.87,26.3,2025-02-16
SEC-047-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,12136.89,5.63,737.89,497.4,8612.23,484.76,8205.14,390.72,63.7,39.14,Low Contamination,81.76,77.26,30.09,14.48,3.33,95.82,57.74,84.39,117.22,44.91,25.16,1621199.71,Thermal Insulation Boards,Medium,UltraTech EcoBuild,High,Low Recovery Potential,66.94,27.8,2025-02-16
SEC-048-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,501.44,5.86,415.96,139.31,1571.87,363.53,3085.73,565.49,41.72,36.98,Organic Contaminants,42.69,40.2,76.05,19.91,3.63,67.28,79.66,89.45,113.75,35.88,42.16,2797159.38,Eco Packaging Sheets,Emerging,Reliance Circular Ventures,Low,Moderately Recoverable,96.76,13.7,2025-02-17
SEC-048-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,8629.47,7.48,226.28,110.91,2684.61,395.72,4208.11,140.07,51.59,40.16,Chromium,60.47,54.42,76.29,56.98,6.97,86.19,15.21,78.5,47.8,61.24,46.1,751277.06,Thermal Insulation Boards,Very High,JSW Green Materials,Low,Moderately Recoverable,97.8,6.8,2025-02-17
SEC-049-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,8044.56,7.18,991.18,312.0,4773.59,643.7,2490.88,387.79,37.01,51.35,Heavy Metals,74.65,62.72,76.22,11.44,7.62,78.29,52.05,97.41,285.59,45.2,20.86,726509.66,Acoustic Insulation Panels,Emerging,EcoPack India,High,Highly Recoverable,84.88,23.2,2025-02-18
SEC-049-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,9928.76,6.5,543.2,395.68,770.02,437.12,4457.83,461.43,64.46,40.94,Low Contamination,76.48,70.85,30.39,56.29,1.94,51.31,44.81,76.04,191.51,71.2,50.44,59771.76,Thermal Insulation Boards,Very High,Reliance Circular Ventures,High,Low Recovery Potential,96.63,17.0,2025-02-18
SEC-050-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,13119.62,8.61,1292.77,387.15,7682.13,551.11,498.08,417.11,57.44,48.82,Low Contamination,57.25,50.38,93.22,43.53,7.84,58.0,49.26,33.15,300.96,76.28,54.43,4487799.06,Compressed Construction Blocks,Emerging,Reliance Circular Ventures,Low,Highly Recoverable,96.25,11.9,2025-02-19
SEC-050-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,5465.41,5.4,714.33,496.2,5608.62,30.68,7829.85,180.6,52.59,25.33,Organic Contaminants,71.98,76.88,67.95,48.97,9.78,93.9,47.12,79.01,350.92,63.59,63.12,2801946.23,Eco Bricks,Very High,UltraTech EcoBuild,High,Moderately Recoverable,59.53,17.9,2025-02-19
SEC-050-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,14654.47,6.08,260.79,525.1,4042.39,125.44,3663.41,19.12,62.22,25.58,Chromium,40.77,40.73,85.11,30.14,4.27,52.8,52.59,66.94,365.08,46.93,49.51,2776207.96,Industrial Pigments,Very High,GreenBuild Gujarat,High,Needs Advanced Treatment,55.23,4.5,2025-02-19
SEC-051-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,2810.62,5.93,659.81,578.63,6270.87,568.77,7441.9,490.53,49.76,45.74,Color Pigments,57.81,56.31,59.37,55.85,8.64,77.32,32.71,42.86,192.23,65.72,40.49,3865932.17,Eco Packaging Sheets,Emerging,JSW Green Materials,Low,Needs Advanced Treatment,58.36,26.1,2025-02-20
SEC-051-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,10787.71,5.62,653.12,218.65,6766.09,72.92,7668.93,33.64,14.18,42.67,Oil Residue,58.92,48.72,45.93,13.45,8.46,48.81,24.54,93.61,296.92,59.47,56.33,2693152.65,Thermal Insulation Boards,Emerging,GreenBuild Gujarat,Low,Highly Recoverable,51.68,4.5,2025-02-20
SEC-051-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,9948.03,6.79,1283.11,516.57,7274.81,454.76,4829.49,258.27,16.09,47.16,Color Pigments,85.07,87.39,90.37,21.31,4.2,57.13,28.34,64.89,257.59,18.36,18.74,4046039.84,Thermal Insulation Boards,High,Reliance Circular Ventures,Medium,Highly Recoverable,88.24,13.7,2025-02-20
SEC-052-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,13061.65,7.77,1195.2,425.1,3427.85,80.92,4665.07,573.93,36.21,26.36,Oil Residue,95.66,100.09,88.28,53.5,7.37,76.98,60.63,44.6,343.96,81.23,32.11,3314501.36,Compressed Construction Blocks,Very High,Reliance Circular Ventures,Medium,Moderately Recoverable,97.24,15.6,2025-02-21
SEC-052-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,14905.48,8.36,699.59,84.62,6596.33,536.87,3543.04,373.33,19.36,39.73,Chromium,61.17,55.66,38.12,13.3,9.29,77.12,49.03,87.38,165.58,16.37,5.73,3114784.88,Compressed Construction Blocks,High,JSW Green Materials,High,Highly Recoverable,72.76,15.0,2025-02-21
SEC-053-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,5251.29,8.22,1056.37,667.67,2141.83,429.67,7190.04,559.44,29.77,46.95,Heavy Metals,74.32,73.66,48.1,40.72,7.9,88.19,30.9,86.17,98.98,16.62,59.15,4234224.51,Compressed Construction Blocks,Emerging,EcoPack India,High,Needs Advanced Treatment,95.83,29.7,2025-02-22
SEC-053-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,3793.83,6.53,578.91,166.03,3158.49,194.77,6251.27,564.32,53.64,32.18,Color Pigments,57.98,63.42,90.26,53.03,1.79,77.8,10.34,76.73,208.67,56.57,22.88,3719982.45,Eco Packaging Sheets,Very High,Reliance Circular Ventures,Medium,Low Recovery Potential,36.15,4.2,2025-02-22
SEC-053-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,7695.98,6.32,1384.76,41.61,7261.16,34.88,2856.87,444.69,55.82,41.46,Chromium,78.49,74.37,59.48,57.2,5.83,57.1,68.36,94.46,413.85,34.73,15.8,399445.18,Compressed Construction Blocks,Medium,GreenBuild Gujarat,High,Low Recovery Potential,38.3,21.7,2025-02-22
SEC-053-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,9053.11,7.0,1210.01,244.01,2068.4,300.68,1747.22,97.22,66.16,55.9,Chromium,56.22,57.68,75.76,55.85,8.82,82.34,37.27,73.7,344.7,59.67,19.41,3343390.61,Compressed Construction Blocks,Medium,GreenBuild Gujarat,Low,Needs Advanced Treatment,59.26,15.5,2025-02-22
SEC-053-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,2149.39,5.64,1347.85,413.82,8674.64,616.51,1059.45,133.65,22.45,43.99,Oil Residue,83.44,75.87,67.65,13.36,3.36,46.86,50.26,55.19,199.71,33.54,18.14,1146879.14,Eco Bricks,Medium,GreenBuild Gujarat,Low,Moderately Recoverable,80.59,7.2,2025-02-22
SEC-054-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,4925.44,6.12,1301.48,605.63,4002.93,480.8,3066.41,314.43,68.54,49.22,Organic Contaminants,85.02,89.12,84.98,19.74,5.44,63.66,74.27,61.3,231.91,69.83,34.35,1057184.66,Eco Bricks,Very High,GreenBuild Gujarat,Medium,Highly Recoverable,97.07,10.9,2025-02-23
SEC-054-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Mixed,918.85,8.43,649.44,134.65,4362.5,199.84,5962.08,45.56,48.27,53.55,Heavy Metals,87.16,95.39,88.43,49.66,1.79,83.91,69.74,46.62,213.61,42.93,34.48,1333263.76,Acoustic Insulation Panels,Emerging,Reliance Circular Ventures,High,Highly Recoverable,47.74,10.9,2025-02-23
SEC-054-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,6183.36,6.56,1250.62,263.59,7669.06,366.51,585.77,88.84,12.66,27.16,Heavy Metals,55.79,62.22,46.13,37.08,1.66,70.47,59.04,90.17,222.03,67.53,51.29,914545.86,Industrial Pigments,Very High,EcoPack India,High,Needs Advanced Treatment,91.0,17.8,2025-02-23
SEC-055-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,8959.27,7.34,476.9,675.41,4578.28,341.0,3361.67,589.58,37.9,31.81,Color Pigments,53.97,60.34,51.15,62.16,9.61,88.94,59.75,91.11,194.57,39.93,46.38,4290845.66,Thermal Insulation Boards,Very High,JSW Green Materials,Medium,Highly Recoverable,87.93,20.2,2025-02-24
SEC-055-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,2258.89,5.27,1103.56,186.63,3545.56,78.88,4900.98,95.88,18.0,50.45,Chromium,40.82,45.22,50.78,10.5,5.4,90.49,77.97,49.91,256.5,24.12,39.86,2739230.89,Industrial Pigments,High,Reliance Circular Ventures,High,Highly Recoverable,43.66,18.7,2025-02-24
SEC-055-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,11887.75,7.42,609.44,264.66,848.08,220.64,3486.59,17.92,40.29,48.17,Low Contamination,89.35,83.72,93.39,25.92,6.87,91.77,24.95,98.16,396.05,49.28,56.83,114513.05,Eco Bricks,High,GreenBuild Gujarat,High,Moderately Recoverable,80.83,10.6,2025-02-24
SEC-055-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,8673.25,6.96,1182.9,427.89,2310.56,350.55,3674.9,19.86,7.54,53.47,Oil Residue,71.74,66.17,94.83,21.67,9.63,58.12,17.29,45.7,287.88,50.01,53.47,3447500.77,Eco Bricks,Emerging,JSW Green Materials,Low,Needs Advanced Treatment,74.22,23.1,2025-02-24
SEC-055-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Textile,2383.58,6.99,851.56,86.57,2952.69,475.51,1022.35,386.46,51.9,24.57,Organic Contaminants,46.79,43.69,54.5,49.53,1.25,74.91,25.6,47.67,404.56,50.49,47.24,101634.09,Eco Bricks,Emerging,GreenBuild Gujarat,High,Moderately Recoverable,89.14,14.4,2025-02-24
SEC-056-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,12331.23,7.1,1370.95,380.22,1107.23,297.64,8310.59,150.03,16.08,44.29,Heavy Metals,74.27,68.26,38.61,39.34,9.35,92.21,38.59,79.24,86.54,15.79,50.15,2977246.96,Eco Packaging Sheets,Very High,GreenBuild Gujarat,Low,Needs Advanced Treatment,83.02,24.8,2025-02-25
SEC-056-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Textile,6989.74,7.47,1303.52,173.18,4359.29,234.72,1614.94,201.21,37.77,39.26,Chromium,44.49,37.58,68.53,19.71,9.35,85.92,49.1,59.86,174.25,55.5,53.24,190267.58,Eco Packaging Sheets,High,EcoPack India,Low,Moderately Recoverable,48.43,4.7,2025-02-25
