batch_id,factory_name,country,city,industry_type,waste_type,quantity_kg,material_category,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
RWX-101046,Bryan-Santiago,Bangladesh,Tokyo,Leather Processing,Sludge,14274.69,Mixed,Oil Residue,8.97,577.19,16.35,5888.66,407.41,6219.65,734.62,73.31,27.24,44.59,44.81,34.39,18.12,1.89,40.37,66.61,91.75,978.37,11.37,60.59,7487321.75,Composite Wall Panels,High,UltraTech EcoBuild,Medium,Moderately Recoverable,55.5,20.1,2024-07-28
RWX-101047,Ghosh and Sons,India,Surat,Construction Materials,Synthetic Residue,16621.93,Polymer,High TDS,8.01,1661.13,787.85,2638.6,53.67,2375.55,30.73,25.51,42.43,29.0,32.5,47.06,15.87,6.16,71.28,76.92,81.64,213.85,45.78,36.79,9116232.76,Eco Packaging,Very High,Asian Paints Eco Division,High,Moderately Recoverable,96.36,29.9,2022-09-10
RWX-101048,"Galvan, Estrada and Golden",Indonesia,Shanghai,Metal Processing,Textile Dye Waste,12983.87,Mixed,Organic Contaminants,4.47,1008.35,716.87,1038.75,839.74,1090.47,606.91,23.45,49.32,53.72,46.35,40.17,75.66,4.38,96.94,92.61,37.44,812.53,77.26,11.88,8051139.89,Eco Bricks,Medium,GreenBuild International,Low,Moderately Recoverable,62.55,19.5,2022-08-08
RWX-101049,Parker-Becker,Germany,Shanghai,Paper Manufacturing,Chemical Effluent,3226.38,Mixed,Microplastics,4.93,1380.92,463.94,6224.81,322.29,8014.79,622.72,76.02,18.76,67.07,49.37,31.55,7.53,1.96,52.0,56.05,60.08,48.45,16.21,19.1,3845947.86,Thermal Insulation Boards,Emerging,Reliance Circular Ventures,Low,Highly Recoverable,56.43,41.0,2025-11-08
RWX-101050,"Raymond, Walker and Sanchez",Thailand,Shanghai,Leather Processing,Polyester Fiber Waste,15805.39,Organic,Low Contamination,9.48,1486.15,60.99,6234.41,749.58,5803.5,583.59,35.88,58.57,25.12,18.12,93.4,6.32,2.5,53.95,56.87,37.19,65.06,80.58,65.19,3929695.18,Acoustic Panels,High,JSW Green Materials,Medium,Highly Recoverable,62.35,43.5,2025-04-21
RWX-101051,Lad-Chopra,India,Mumbai,Garment Processing,Printing Dye Sludge,12764.6,Textile,Low Contamination,5.95,719.33,898.29,3534.37,381.46,1970.81,644.52,29.03,56.68,94.44,107.23,60.18,45.99,2.19,61.99,59.29,57.53,746.73,12.62,57.33,352984.63,Composite Wall Panels,Medium,Tata Sustainable Materials,Medium,Needs Advanced Treatment,51.71,4.2,2023-12-21
RWX-101052,Zacharia-Sachar,India,Noida,Garment Processing,Sludge,9541.65,Textile,Microplastics,5.26,691.72,600.74,3673.67,439.46,5096.39,95.04,5.82,63.47,68.93,49.91,74.41,14.19,5.35,38.63,25.75,72.44,906.65,80.32,50.06,6219641.64,Circular Fashion Fibers,Very High,CircularTex Global,Medium,Low Recovery Potential,96.13,16.4,2025-07-26
RWX-101053,Ghose LLC,India,Ahmedabad,Textile Manufacturing,Synthetic Residue,4874.21,Textile,Oil Residue,5.93,1022.44,598.63,9860.73,94.08,9102.66,415.84,55.21,43.34,93.53,77.86,77.53,7.3,6.12,94.55,11.23,46.67,625.7,82.25,67.09,401471.31,Eco Packaging,Medium,CircularTex Global,Low,Moderately Recoverable,53.53,8.8,2024-07-06
RWX-101054,Arora and Sons,India,Jaipur,Plastic Recycling,Fly Ash,203.77,Metal,Oil Residue,6.86,889.27,320.41,5536.37,209.22,4043.43,190.43,56.42,28.96,79.14,87.56,26.72,16.17,8.51,73.24,19.45,57.94,122.29,11.69,37.09,7891864.79,Composite Wall Panels,High,Asian Paints Eco Division,Medium,Highly Recoverable,80.3,12.4,2026-04-28
RWX-101055,"Tiwari, Babu and Chaudhari",India,Mumbai,Construction Materials,Industrial Wastewater,15943.93,Organic,Lead,7.25,800.41,443.36,596.11,649.66,3834.89,746.12,12.76,56.11,36.88,30.08,67.9,18.64,3.79,80.83,88.8,55.45,101.79,64.34,52.4,1815844.75,Circular Fashion Fibers,Medium,Mahindra Sustainable Solutions,Medium,Low Recovery Potential,84.06,39.0,2025-01-11
RWX-101056,"Cain, Robbins and Ramsey",Germany,New York,Chemical Processing,Printing Dye Sludge,848.13,Organic,Lead,6.74,1328.89,32.68,2689.23,278.87,8338.58,721.71,55.01,41.5,85.0,72.96,79.07,7.66,1.63,84.28,30.62,80.43,713.83,79.21,54.47,8561607.89,Industrial Absorbent Pads,High,Mahindra Sustainable Solutions,High,Low Recovery Potential,85.96,13.9,2023-12-22
RWX-101057,"Kala, Bose and Keer",India,Kanpur,Construction Materials,Polyester Fiber Waste,13947.13,Organic,Low Contamination,7.04,1457.96,196.9,381.09,192.03,492.54,485.51,69.8,18.79,66.8,57.88,66.85,61.97,1.73,82.24,21.13,26.23,630.42,85.16,8.9,5457315.11,Circular Fashion Fibers,Very High,GreenBuild International,Medium,Low Recovery Potential,93.07,12.8,2025-02-19
RWX-101058,"Vyas, Venkataraman and Apte",India,Bengaluru,Paper Manufacturing,Mixed Industrial Waste,11833.31,Mixed,Organic Contaminants,9.69,253.92,790.49,5020.46,420.21,2083.55,86.38,35.59,47.69,30.0,26.52,36.21,80.45,5.48,80.17,29.85,62.83,559.1,57.93,7.62,9029141.44,Thermal Insulation Boards,Emerging,CircularTex Global,Low,Needs Advanced Treatment,62.61,3.3,2023-12-15
RWX-101059,Chokshi-Sarin,India,Pune,Construction Materials,Polyester Fiber Waste,12168.28,Metal,Chromium,8.85,393.08,430.37,4239.28,832.2,614.57,339.79,43.55,50.68,68.65,76.69,72.46,32.53,4.56,47.65,61.01,45.26,549.8,28.7,68.53,6375123.78,Sustainable Ceiling Tiles,Emerging,CircularTex Global,Low,Low Recovery Potential,46.68,39.4,2025-12-14
RWX-101060,Dixit-Bora,India,Kanpur,Textile Manufacturing,Chemical Effluent,14223.72,Organic,Low Contamination,7.43,700.6,503.67,513.53,864.06,3799.32,671.78,42.66,58.07,97.51,87.39,31.43,81.39,1.39,39.98,82.14,90.0,126.15,57.47,5.33,481055.81,Acoustic Panels,Medium,Mahindra Sustainable Solutions,Medium,Moderately Recoverable,42.54,36.1,2025-11-12
RWX-101061,"Brooks, Bailey and Murray",UAE,Shanghai,Synthetic Fiber Plant,Printing Dye Sludge,23164.86,Mixed,Oil Residue,8.68,1761.46,269.56,8193.57,294.61,3184.15,558.12,41.32,60.62,33.72,27.09,82.46,36.49,1.18,58.88,89.74,57.53,930.53,49.17,25.44,7849634.8,Industrial Pigments,Emerging,Tata Sustainable Materials,Medium,Needs Advanced Treatment,86.56,20.5,2023-11-21
RWX-101062,"Dugal, Gulati and Sur",India,Tiruppur,Leather Processing,Sludge,18849.9,Chemical,High TDS,4.64,1409.03,258.39,947.98,140.6,6889.94,654.87,36.14,56.12,40.96,32.81,58.49,30.98,6.62,79.55,15.57,82.79,17.87,72.98,41.82,8304513.66,Sustainable Ceiling Tiles,Very High,UltraTech EcoBuild,Low,Highly Recoverable,83.82,43.5,2026-04-12
RWX-101063,"Sangha, Saxena and Chana",India,Bengaluru,Leather Processing,Printing Dye Sludge,15831.17,Metal,Color Pigments,5.82,978.56,867.02,9273.4,175.18,2081.4,340.22,79.45,52.68,28.63,23.29,80.88,78.69,4.79,79.09,35.43,25.7,586.78,50.44,26.99,643810.36,Thermal Insulation Boards,Medium,UltraTech EcoBuild,High,Low Recovery Potential,82.5,12.7,2025-06-30
RWX-101064,Barr Inc,Japan,Berlin,Leather Processing,Printing Dye Sludge,22506.68,Mixed,High TDS,5.03,163.61,152.76,6072.08,520.15,2693.43,456.49,53.83,59.03,87.38,64.71,31.31,21.82,5.17,38.21,66.66,29.87,217.17,95.61,42.82,112962.52,Acoustic Panels,Medium,GreenBuild International,Medium,Needs Advanced Treatment,45.74,33.1,2023-03-28
RWX-101065,Miller-Caldwell,UAE,Dubai,Leather Processing,Industrial Wastewater,13683.62,Metal,Sulfide,8.87,1579.39,622.28,4312.19,591.24,4265.5,682.98,45.83,18.72,87.29,88.67,36.17,28.81,1.69,73.65,91.95,54.59,43.19,53.11,44.56,5479898.59,Industrial Absorbent Pads,Very High,Reliance Circular Ventures,High,Low Recovery Potential,36.7,30.0,2022-06-03
RWX-101066,"Suri, Deol and Vaidya",India,Mumbai,Garment Processing,Fly Ash,6313.35,Metal,Organic Contaminants,7.38,587.03,43.79,1698.85,72.84,1914.01,316.53,52.79,43.07,69.24,77.56,84.26,40.1,3.51,45.36,93.79,75.27,149.17,65.05,30.61,5858481.82,Sustainable Ceiling Tiles,High,RenewLoop Manufacturing,High,Highly Recoverable,40.45,44.7,2022-07-08
RWX-101067,Bonilla and Sons,UK,Istanbul,Metal Processing,Synthetic Residue,2339.06,Polymer,Organic Contaminants,9.51,384.06,414.71,1270.88,441.3,341.58,227.85,45.16,32.61,42.76,40.39,24.37,82.76,6.24,67.33,56.77,70.68,899.75,56.86,15.75,9069276.46,Composite Wall Panels,High,Asian Paints Eco Division,Medium,Low Recovery Potential,47.1,9.1,2025-09-22
RWX-101068,"Goyal, Garg and Bala",India,Ahmedabad,Plastic Recycling,Polyester Fiber Waste,16918.25,Textile,High TDS,9.34,199.93,775.9,11505.53,77.78,2594.21,209.59,59.08,37.52,30.73,26.65,19.7,53.07,6.28,93.12,58.59,32.32,734.01,15.76,46.17,2872281.4,Compressed Construction Blocks,Very High,JSW Green Materials,High,Moderately Recoverable,52.05,32.9,2024-08-07
RWX-101069,Carrillo PLC,UAE,Istanbul,Construction Materials,Fly Ash,23580.32,Polymer,Lead,7.49,1340.7,40.95,4838.94,286.16,425.28,484.88,9.7,44.72,78.51,65.69,23.44,8.59,6.93,44.94,70.34,45.47,623.47,60.83,30.85,8084370.84,Eco Bricks,Medium,Asian Paints Eco Division,Medium,Low Recovery Potential,33.53,21.6,2024-05-12
RWX-101070,Owens-Taylor,Japan,Dhaka,Construction Materials,Sludge,24880.05,Mixed,Low Contamination,5.13,1303.19,684.56,9545.13,51.22,1019.31,25.07,20.95,20.28,77.18,59.52,63.87,77.78,3.87,62.93,53.86,29.21,688.26,28.17,36.69,7816626.98,Acoustic Panels,Very High,CircularTex Global,Medium,Needs Advanced Treatment,72.27,47.0,2024-07-07
RWX-101071,"Grewal, Varty and Dayal",India,Noida,Garment Processing,Sludge,10338.15,Textile,Color Pigments,7.07,997.22,604.13,3638.12,203.61,9913.41,673.23,66.99,40.83,48.17,35.98,92.39,23.5,5.87,66.52,11.4,26.93,512.13,88.49,8.1,704289.67,Eco Concrete Additives,Very High,Mahindra Sustainable Solutions,Low,Moderately Recoverable,57.1,22.8,2025-06-25
RWX-101072,Sridhar-Saxena,India,Noida,Synthetic Fiber Plant,Chemical Effluent,15872.64,Metal,Sulfide,9.81,431.06,583.52,2635.92,870.77,709.62,379.76,22.59,21.24,63.71,47.64,40.77,69.31,6.49,53.74,26.11,82.98,535.2,76.11,67.77,5525024.64,Circular Fashion Fibers,High,CircularTex Global,High,Low Recovery Potential,76.16,43.2,2024-04-07
RWX-101073,Jayaraman-Lal,India,Jaipur,Industrial Dyeing,Textile Dye Waste,5098.48,Textile,Microplastics,6.89,567.92,795.36,362.75,733.5,6571.83,369.4,7.25,33.73,73.0,54.56,84.54,28.51,8.99,77.01,89.29,39.93,913.02,60.54,43.19,3358453.7,Recycled Plastic Lumber,High,Asian Paints Eco Division,Low,Low Recovery Potential,38.99,26.6,2023-09-12
RWX-101074,"Johnson, Gay and Villarreal",Thailand,Manchester,Plastic Recycling,Fabric Scraps,6729.93,Polymer,Lead,5.42,981.45,804.13,4464.43,239.6,5211.35,482.75,36.67,20.76,38.61,40.53,72.35,40.26,6.58,69.53,45.33,35.0,943.41,40.22,6.9,4002323.77,Eco Bricks,Emerging,RenewLoop Manufacturing,Medium,Highly Recoverable,57.41,36.4,2023-06-05
RWX-101075,Batta Group,India,Panipat,Garment Processing,Fabric Scraps,11756.17,Mixed,Sulfide,5.2,510.86,893.66,9983.15,576.85,239.6,785.4,42.49,19.22,20.71,22.36,49.63,42.0,1.43,95.59,50.81,55.8,480.94,69.26,9.49,1241148.29,Acoustic Panels,Very High,Mahindra Sustainable Solutions,High,Highly Recoverable,53.28,16.2,2025-10-01
RWX-101076,Khosla-Halder,India,Jaipur,Metal Processing,Sludge,24380.02,Metal,Lead,8.42,1182.52,64.05,2036.73,891.16,8600.91,335.55,14.93,62.28,30.33,24.22,78.37,17.01,7.24,53.49,20.2,50.08,529.68,83.52,13.77,646551.91,Eco Packaging,Emerging,EcoPack Solutions,High,Highly Recoverable,38.88,16.7,2025-01-30
RWX-101077,Mullins-Baker,Indonesia,Bangkok,Textile Manufacturing,Industrial Wastewater,21019.24,Mixed,Heavy Metals,6.76,101.09,743.02,5202.8,56.78,1348.8,333.91,26.9,62.14,38.01,27.65,89.19,60.26,5.34,39.72,71.95,58.32,724.68,62.12,6.41,5127703.38,Eco Packaging,Very High,JSW Green Materials,Medium,Low Recovery Potential,75.65,24.7,2023-02-22
RWX-101078,"Trivedi, Bala and Jaggi",India,Pune,Construction Materials,Fabric Scraps,10514.95,Textile,Oil Residue,8.38,496.8,94.0,7861.78,858.52,786.72,571.34,16.46,51.88,23.9,21.5,49.1,74.66,3.48,62.6,14.75,51.34,494.8,81.9,67.92,3613097.32,Eco Packaging,Emerging,RenewLoop Manufacturing,Medium,Highly Recoverable,92.09,15.2,2025-12-27
RWX-101079,Schneider Group,Vietnam,Shanghai,Textile Manufacturing,Fly Ash,24810.1,Metal,Oil Residue,5.71,76.12,831.28,3369.51,317.13,5934.73,496.19,73.06,18.31,60.14,51.74,60.51,55.84,2.78,46.86,76.61,30.57,352.39,12.21,30.33,4730917.65,Recycled Plastic Lumber,Very High,Mahindra Sustainable Solutions,Low,Needs Advanced Treatment,63.03,47.9,2025-12-01
RWX-101080,Romero-Lewis,UK,Dhaka,Chemical Processing,Polyester Fiber Waste,12756.38,Polymer,Organic Contaminants,6.01,762.78,142.23,702.51,592.3,3796.99,467.72,6.3,25.8,56.09,55.89,55.83,15.6,3.38,86.92,47.25,53.63,488.34,65.94,69.27,2495602.62,Acoustic Panels,High,Asian Paints Eco Division,Medium,Low Recovery Potential,39.51,24.9,2025-10-20
RWX-101081,Rivera and Sons,UAE,Manchester,Construction Materials,Fabric Scraps,23657.11,Organic,Oil Residue,5.5,711.79,26.15,3316.04,104.78,7517.61,170.64,78.87,48.75,92.22,78.98,19.26,38.01,1.41,36.91,49.72,64.28,107.9,81.26,33.27,7596106.28,Eco Packaging,Medium,Asian Paints Eco Division,High,Highly Recoverable,34.25,17.0,2025-12-30
RWX-101082,Davenport-Sanchez,USA,Istanbul,Metal Processing,Textile Dye Waste,8563.2,Textile,Organic Contaminants,7.96,1597.66,156.54,4981.72,600.28,3869.2,465.2,50.34,33.99,88.51,85.44,75.32,74.06,5.19,43.56,92.86,96.37,454.87,78.53,18.52,1329811.56,Recycled Plastic Lumber,Medium,Asian Paints Eco Division,High,Moderately Recoverable,95.4,47.0,2023-07-24
RWX-101083,"Ramachandran, Bains and Bose",India,Bengaluru,Leather Processing,Sludge,11166.92,Textile,High TDS,4.61,993.92,544.33,2581.37,117.23,9459.59,321.07,8.62,45.21,62.09,62.15,35.46,6.81,5.79,62.88,80.26,35.98,237.44,51.28,32.64,9930404.38,Thermal Insulation Boards,Very High,GreenBuild International,Low,Highly Recoverable,97.55,28.0,2025-10-22
RWX-101084,Reilly Inc,UK,New York,Garment Processing,Polyester Fiber Waste,17673.18,Textile,Microplastics,6.51,526.91,598.61,671.52,299.89,5740.16,97.98,69.51,53.49,27.62,26.07,18.64,27.6,8.58,47.63,64.98,89.94,421.63,60.96,20.6,615468.12,Industrial Absorbent Pads,Emerging,UltraTech EcoBuild,Low,Low Recovery Potential,41.75,4.6,2022-10-26
RWX-101085,"Joshi, Bava and Chakraborty",India,Mumbai,Plastic Recycling,Sludge,14267.63,Mixed,Lead,9.51,1398.89,219.25,10258.96,863.39,2557.93,617.67,23.6,24.2,75.44,65.21,22.27,33.75,3.63,94.09,73.92,93.01,973.22,68.39,8.15,5151547.26,Thermal Insulation Boards,Medium,CircularTex Global,Medium,Needs Advanced Treatment,44.31,43.7,2022-07-04
RWX-101086,Hess LLC,Thailand,Bangkok,Construction Materials,Fabric Scraps,7941.11,Mixed,High TDS,7.95,904.34,559.91,2418.89,287.59,5526.26,563.26,70.56,63.33,51.28,52.81,18.25,51.16,5.62,89.53,75.58,26.31,324.44,84.93,16.26,5075173.21,Industrial Pigments,Emerging,RenewLoop Manufacturing,Low,Moderately Recoverable,81.94,47.3,2025-03-21
RWX-101087,Lowery-Taylor,China,Seoul,Paper Manufacturing,Printing Dye Sludge,24321.88,Chemical,Low Contamination,6.14,1472.49,813.71,11778.72,358.4,1398.12,203.92,6.16,35.51,42.74,33.36,86.55,22.46,4.39,65.95,86.82,31.67,740.67,94.79,13.65,9950638.74,Industrial Pigments,Very High,EcoPack Solutions,Low,Moderately Recoverable,89.51,37.7,2022-05-21
RWX-101088,"Kala, Rao and Sampath",India,Mumbai,Synthetic Fiber Plant,Printing Dye Sludge,4336.23,Organic,Color Pigments,7.7,610.44,253.73,389.52,582.41,6905.21,512.45,67.83,52.62,47.18,39.16,69.83,31.84,2.49,87.14,27.03,72.06,927.4,85.41,41.46,8237360.89,Industrial Absorbent Pads,High,Tata Sustainable Materials,High,Low Recovery Potential,72.01,15.4,2024-12-20
RWX-101089,"Castaneda, Bennett and Duncan",USA,New York,Construction Materials,Mixed Industrial Waste,21849.87,Organic,Color Pigments,9.83,807.57,711.88,4844.32,479.06,2702.4,649.6,3.21,18.04,50.42,51.67,79.67,71.84,4.43,71.49,91.68,82.5,342.91,91.22,50.07,7323690.6,Recycled Plastic Lumber,High,CircularTex Global,High,Highly Recoverable,78.47,44.0,2023-12-25
RWX-101090,Sankaran Inc,India,Bengaluru,Chemical Processing,Fly Ash,5232.72,Mixed,Oil Residue,5.54,1017.39,407.49,5916.73,457.87,8107.75,531.82,20.1,52.98,21.76,20.89,37.76,18.12,4.03,37.94,24.77,48.0,116.59,39.57,54.15,8295877.6,Eco Concrete Additives,Emerging,EcoPack Solutions,Medium,Highly Recoverable,77.57,7.4,2023-10-10
RWX-101091,Dixon LLC,Bangladesh,New York,Textile Manufacturing,Fabric Scraps,14783.99,Organic,High TDS,6.34,1788.61,69.69,2931.03,35.17,1240.69,127.24,14.0,32.56,52.42,54.71,24.68,79.79,5.17,77.27,10.86,40.04,304.34,18.73,17.33,2838159.02,Eco Concrete Additives,Emerging,RenewLoop Manufacturing,Medium,Low Recovery Potential,57.14,32.7,2025-11-06
RWX-101092,"Balan, Kashyap and Shah",India,Surat,Chemical Processing,Printing Dye Sludge,6386.33,Polymer,Low Contamination,8.65,197.26,856.28,2292.96,410.61,4807.73,619.92,5.15,50.87,88.82,97.0,58.11,8.67,1.52,49.22,44.59,53.67,620.15,70.05,63.03,264971.41,Industrial Absorbent Pads,Very High,RenewLoop Manufacturing,Low,Low Recovery Potential,83.7,27.4,2024-03-26
RWX-101093,Cole-Mitchell,Bangladesh,Dhaka,Chemical Processing,Synthetic Residue,18065.36,Polymer,Microplastics,9.16,876.3,121.8,1583.77,437.01,6923.82,350.82,70.03,35.21,29.23,28.94,32.95,79.62,3.15,76.76,25.05,33.77,19.97,97.45,56.51,704757.52,Eco Bricks,High,Reliance Circular Ventures,Medium,Low Recovery Potential,32.15,38.2,2025-02-22
RWX-101094,Guha Group,India,Kanpur,Construction Materials,Fabric Scraps,4558.34,Mixed,Sulfide,4.44,924.54,729.01,3657.95,859.29,9398.29,297.09,33.5,60.87,38.45,28.45,51.57,38.97,5.46,40.25,45.14,87.81,965.41,69.27,48.99,9683601.81,Industrial Absorbent Pads,Very High,Tata Sustainable Materials,High,Highly Recoverable,39.31,15.5,2024-02-12
RWX-101095,Krish Group,India,Mumbai,Metal Processing,Printing Dye Sludge,5663.7,Polymer,Sulfide,7.67,1690.67,235.63,2966.53,734.38,5239.57,603.85,30.8,45.49,69.99,61.52,65.61,39.66,3.11,70.43,37.88,98.98,914.5,86.33,16.6,2648561.16,Circular Fashion Fibers,Very High,Tata Sustainable Materials,Medium,Needs Advanced Treatment,50.41,43.3,2024-03-27
RWX-101096,Moore-Walton,South Korea,Berlin,Textile Manufacturing,Chemical Effluent,11849.87,Organic,Color Pigments,7.52,1422.64,263.55,2326.34,623.65,1395.39,287.37,7.11,51.53,24.22,19.9,72.75,13.31,7.3,85.78,14.34,49.32,898.98,10.06,49.65,4117132.6,Eco Packaging,Emerging,Asian Paints Eco Division,Low,Moderately Recoverable,65.21,44.5,2024-03-16
RWX-101097,"Morris, Horne and White",Japan,Seoul,Industrial Dyeing,Polyester Fiber Waste,24849.09,Chemical,Lead,7.67,866.29,37.99,5785.3,18.79,7164.09,436.22,39.07,23.98,69.67,54.9,55.25,23.79,4.35,64.41,39.93,90.26,572.7,76.39,12.71,8262962.59,Thermal Insulation Boards,Medium,Reliance Circular Ventures,Medium,Moderately Recoverable,64.43,28.2,2023-09-08
RWX-101098,Wilson Ltd,UK,Manchester,Metal Processing,Fly Ash,20098.85,Mixed,Chromium,6.73,1793.33,502.0,10158.51,488.73,7126.84,194.11,79.44,45.47,86.13,94.39,92.11,29.81,5.76,54.07,21.37,63.22,466.35,70.03,60.68,1363580.88,Recycled Plastic Lumber,High,RenewLoop Manufacturing,High,Moderately Recoverable,51.35,20.7,2025-08-31
RWX-101099,"Bhavsar, Bhat and Sachdev",India,Panipat,Leather Processing,Synthetic Residue,16467.23,Polymer,Oil Residue,7.16,328.52,890.41,6404.75,898.69,1991.25,87.63,69.21,42.41,54.04,58.58,97.97,51.6,3.94,85.49,72.5,90.37,580.72,47.54,45.22,8463491.62,Industrial Absorbent Pads,Very High,JSW Green Materials,High,Low Recovery Potential,75.65,45.9,2024-05-05
RWX-101100,Chowdhury LLC,India,Ludhiana,Industrial Dyeing,Mixed Industrial Waste,18561.25,Mixed,Lead,6.36,1193.89,253.58,7166.35,674.44,4533.79,374.93,13.41,59.92,32.05,29.73,95.08,77.63,7.53,74.28,65.11,46.06,924.48,24.12,30.09,1616943.28,Recycled Plastic Lumber,Emerging,Asian Paints Eco Division,Low,Moderately Recoverable,94.17,34.8,2026-04-17
RWX-101101,"Hansen, Murphy and Pope",UAE,Ho Chi Minh City,Garment Processing,Fly Ash,8767.79,Mixed,Low Contamination,8.55,1543.31,866.2,747.11,872.46,1079.19,365.92,30.14,50.73,37.95,36.73,65.98,55.69,8.53,58.62,21.36,87.73,204.96,80.76,49.32,6675438.47,Composite Wall Panels,Very High,Asian Paints Eco Division,Medium,Low Recovery Potential,95.14,38.5,2026-04-19
RWX-101102,Booth-Luna,China,Tokyo,Plastic Recycling,Textile Dye Waste,4556.88,Mixed,Sulfide,5.39,359.15,611.97,4635.49,878.77,3162.83,277.11,35.04,46.06,88.69,64.64,86.7,25.64,6.52,42.45,63.96,85.38,487.47,85.61,7.54,7321726.2,Acoustic Panels,Emerging,Mahindra Sustainable Solutions,High,Needs Advanced Treatment,73.25,15.7,2024-04-27
RWX-101103,Lucas-Gibbs,Indonesia,Shanghai,Construction Materials,Fabric Scraps,10852.13,Organic,Microplastics,4.91,96.62,445.26,5263.81,147.1,8042.36,11.08,68.21,61.31,97.4,91.56,78.66,16.0,2.84,63.54,18.24,35.38,260.35,21.3,36.0,7256441.57,Acoustic Panels,High,EcoPack Solutions,Low,Highly Recoverable,35.65,5.1,2022-07-30
RWX-101104,"Williams, Hurst and Roberts",Vietnam,Seoul,Paper Manufacturing,Industrial Wastewater,9096.53,Polymer,Heavy Metals,5.8,1772.24,379.61,5306.05,612.26,7615.82,767.77,25.78,33.11,66.74,71.82,43.57,9.39,9.27,40.66,71.52,49.27,624.07,95.93,41.93,7961682.51,Industrial Pigments,Medium,Asian Paints Eco Division,High,Needs Advanced Treatment,78.61,23.0,2024-02-09
RWX-101105,"Talwar, Khare and Joshi",India,Bengaluru,Industrial Dyeing,Mixed Industrial Waste,23420.55,Polymer,Oil Residue,7.49,1779.85,402.86,2360.66,412.66,9156.36,743.79,13.91,41.87,93.18,86.2,48.75,49.74,3.43,38.46,55.01,26.33,237.96,61.14,55.6,452522.45,Acoustic Panels,Medium,GreenBuild International,High,Highly Recoverable,38.23,46.6,2026-01-13
RWX-101106,Desai-Bala,India,Panipat,Synthetic Fiber Plant,Textile Dye Waste,14451.35,Textile,Microplastics,4.06,1652.42,614.24,2221.18,736.46,4868.74,309.28,46.05,51.46,35.7,27.55,56.6,18.04,9.83,57.65,44.18,84.48,867.76,42.0,66.5,9465878.0,Acoustic Panels,High,CircularTex Global,High,Highly Recoverable,39.07,26.8,2025-11-28
RWX-101107,Andrews-Goodman,China,Berlin,Plastic Recycling,Printing Dye Sludge,4142.86,Chemical,Organic Contaminants,7.22,1533.11,693.78,5018.8,395.07,4320.0,690.01,11.58,20.28,91.24,97.67,58.04,48.25,3.56,95.99,34.61,78.48,373.6,55.93,43.12,5081541.76,Compressed Construction Blocks,Very High,Tata Sustainable Materials,Low,Moderately Recoverable,76.03,34.0,2022-07-27
RWX-101108,Griffin-Obrien,Bangladesh,New York,Textile Manufacturing,Sludge,17974.09,Organic,Chromium,5.95,1304.22,343.35,8551.8,338.29,5607.49,748.31,78.7,27.81,21.26,22.62,88.45,56.83,3.37,43.09,38.9,63.49,188.58,52.71,35.23,8376528.01,Eco Packaging,Medium,JSW Green Materials,Medium,Needs Advanced Treatment,96.26,34.7,2024-08-11
RWX-101109,"Buch, Gaba and Yohannan",India,Kanpur,Industrial Dyeing,Chemical Effluent,22386.69,Mixed,Microplastics,4.21,164.69,678.46,4027.21,346.85,7825.41,257.57,3.83,33.76,28.48,23.98,79.06,53.4,7.87,95.95,53.23,94.98,733.07,39.85,53.3,3124101.21,Sustainable Ceiling Tiles,Very High,Mahindra Sustainable Solutions,Low,Highly Recoverable,72.47,4.3,2023-08-16
RWX-101110,Henry and Sons,Germany,Seoul,Construction Materials,Industrial Wastewater,24333.62,Metal,Color Pigments,7.48,643.24,506.49,11311.31,445.32,8504.31,716.73,23.44,61.3,62.31,45.72,51.89,14.09,7.68,83.57,12.06,74.91,600.25,45.03,18.09,1034494.26,Eco Concrete Additives,High,CircularTex Global,High,Needs Advanced Treatment,91.68,13.2,2023-11-10
RWX-101111,Kara Inc,India,Noida,Synthetic Fiber Plant,Fly Ash,289.41,Polymer,Chromium,9.15,230.95,744.39,6105.64,486.89,2218.93,114.13,41.23,63.09,24.19,21.03,93.59,30.73,4.03,47.35,36.65,80.99,503.8,75.46,23.46,7410072.19,Thermal Insulation Boards,Emerging,Reliance Circular Ventures,Medium,Low Recovery Potential,41.01,29.6,2024-09-22
RWX-101112,"Kale, Dhillon and Wali",India,Kanpur,Textile Manufacturing,Industrial Wastewater,11313.89,Chemical,Color Pigments,9.35,1212.17,397.35,4427.35,606.17,4478.88,629.27,36.77,29.16,38.12,42.22,59.03,64.95,8.17,53.48,73.96,98.19,80.16,36.81,11.97,587794.54,Eco Bricks,Emerging,EcoPack Solutions,High,Highly Recoverable,44.0,41.9,2023-04-28
